,t2m,stl1,stl2,ssr,tp,swvl1,swvl2
2010-03-01,274.29553873997753,274.36340314411285,274.09217772830914,7707929.282485837,0.0020472312386431778,0.38332216033772404,0.38574740599905993
2010-04-01,280.80501581710945,280.63034207913915,279.93557097853966,13920671.79971553,0.0030544897031467813,0.3807350514020792,0.3833291300856867
2010-05-01,286.1389298186153,286.1758870896855,285.3349105645115,13935970.510086395,0.006201733576692043,0.3811743997149523,0.3807017955872249
2010-06-01,289.8236146641838,289.80956952492727,288.99152805083486,14700490.146724556,0.005986074261703492,0.37328462778639226,0.3757260911016037
2010-07-01,291.5928247194135,291.8627292750984,291.19329986216627,15770352.912515791,0.00497838686457178,0.37770823792958086,0.3793200577909003
2010-08-01,291.9240827795822,292.3403199370957,292.0636720145431,15291249.522145886,0.003425040288606441,0.3461600151130829,0.35023019880495465
2010-09-01,285.0726879830946,285.8152442736623,286.21044673202783,9714889.882869335,0.003281646525250735,0.36887441839227214,0.3690174513746161
2010-10-01,277.7402760389459,278.74098328188586,279.68892099099406,7153570.320897114,0.0016239707350468263,0.35917754171709837,0.3594695201881539
2011-03-01,274.577434937089,274.4844832846207,273.9614901862672,10151293.854184449,0.0011913869717016504,0.3747104982336101,0.3729707974814979
2011-04-01,280.3263155383555,279.8527625879267,279.099546643828,14639535.187594455,0.0021046283341568414,0.35656764037889377,0.3629409083912089
2011-05-01,285.8527780676865,285.69900582980745,284.68582241904,16891805.09192926,0.001863866241898282,0.31336586267989625,0.3165005678571168
2011-06-01,289.7851734228084,290.10339759858766,289.3324060999159,16877507.497077964,0.0043422869774260376,0.2989742052282627,0.2858790221621345
2011-07-01,290.8145166694155,291.14268727698965,290.46445257293647,16483916.635296063,0.0050048994100174585,0.36593799169122193,0.3623504314469567
2011-08-01,290.8437694659741,291.19489088714516,290.7525743966103,16454011.214449717,0.0011840983742825632,0.29873568561334796,0.31213480996204523
2011-09-01,288.0695024291746,288.67366031055684,288.81500965304764,12476334.503869845,0.0010971686164865464,0.24695681497284128,0.2508790833735141
