,t2m,stl1,stl2,ssr,tp,swvl1,swvl2
2010-03-01,272.90286416509787,273.59932915227523,273.3441400729235,6933173.7109555015,0.0008647396494465685,0.38854768265965894,0.39141214916993217
2010-04-01,282.48543527677566,282.2409153523402,281.3119165966633,14004712.870151771,0.0007556554238932191,0.3278389155642032,0.3355291441942997
2010-05-01,290.67483883570975,290.49343547262845,289.1759359474116,16702474.880143754,0.0011995765568905516,0.24397375512668715,0.24782131798773402
2010-06-01,295.87298053565235,296.3416819928665,294.79424224086233,19768688.89110043,0.0009352091966184023,0.2013832411015715,0.19695903449906346
2010-07-01,298.32042861569334,299.01717909417926,297.89012583032945,18148795.380188104,0.002437066944706733,0.24191325737766808,0.2185009590523182
2010-08-01,298.7921197551326,300.14349449424054,299.5402735764003,16414286.580199307,0.0006335058857593291,0.16657368563086553,0.17137383136377268
2010-09-01,288.7506081593118,290.0025839046024,290.5480740268865,10815555.339066632,0.002833824990334784,0.2579857507205787,0.21840281533213238
2010-10-01,279.66822504068574,280.85303608529324,281.9144736749011,6064241.427889315,0.0014224940625274698,0.33139570343293534,0.316744094841619
2011-03-01,273.0769240391644,273.3319676071563,272.7873800992202,9166542.44254897,0.0004636132529407891,0.3653610437674765,0.36229200689739605
2011-04-01,281.46327706188913,280.8974867073585,279.7760730067904,14195943.650613116,0.0013777546010411595,0.33966202893732905,0.3453216260814054
2011-05-01,289.92874047040203,289.62203459529866,288.2788157806731,17452909.726313572,0.0012030406558301353,0.2715399885506524,0.2746715477830456
2011-06-01,294.31105781852847,294.9873346215448,293.8220808821023,17979878.78638258,0.0036768577967037854,0.2309236221844296,0.21481713123151755
2011-07-01,295.7397188158095,295.9581999947095,295.0351464050184,17733239.99799722,0.0030974067207123978,0.31094149745527233,0.30956968773184657
2011-08-01,293.4071092019336,294.23203876263096,293.8772282851031,14963492.820746737,0.0007736961603411326,0.22754522842879726,0.22300066325575543
2011-09-01,289.1457332548128,290.45754355081766,290.81753071570756,11933885.702445071,0.0006831325270451541,0.1880449701274641,0.18291234070591048
2011-10-01,281.2391860593334,282.5050027360618,283.55023077171813,6388763.145899091,0.0008458452605712424,0.25299314404134315,0.2054507546517954
2012-03-01,273.109984363911,273.6848739982881,273.33738579696256,6665623.6463976735,0.001117619230858469,0.37616246409873494,0.37074064887563984
2012-04-01,285.2840547429312,284.43812446447254,283.0730524206038,14007374.306712374,0.0012684551902083783,0.348400424652094,0.35116396249884796
2012-05-01,292.3832935759027,292.56257658456667,291.4138772273254,17944928.863644067,0.0009191489632342914,0.22864318302764977,0.24233527571580463
2012-06-01,294.74343032742667,295.51996462091427,294.3434636228089,19289598.761280842,0.0015185253544697786,0.21996861922817754,0.20142837902239294
2012-07-01,297.57920934556097,298.7638849162312,297.5265251337075,19561479.66129943,0.0016590320464841947,0.2066987620441008,0.19473673209750267
2012-08-01,294.67597866099726,296.1983380267597,296.03632840876134,14371949.210242394,0.002420113549094484,0.23015479595199528,0.2052981769801898
2012-09-01,289.71392016719,290.6275472716195,290.82407546393,11873794.303621221,0.0011116271042766104,0.25958928206105464,0.24406396462475813
2012-10-01,284.2362599873287,285.0649838017397,285.8585754247707,5529376.562376532,0.002663210683146464,0.316347428994762,0.28390856476683723
2013-03-01,272.24367006325656,273.7123164065819,273.7655814487589,6009056.304336867,0.002864471237348396,0.37854690403283214,0.3795924296776221
2013-04-01,283.278999822261,282.4840455165293,281.28832150947454,13404819.668677658,0.0009683347563544008,0.3469203688853925,0.3613571098619288
2013-05-01,292.9549180351009,292.95647993277424,291.4862286057191,19338988.88272661,0.0010613403638661306,0.2314094207818674,0.24175374105738776
2013-06-01,295.45517372382744,296.49744274510357,295.13949972906914,19716542.88951311,0.0012203989615973403,0.20022966454221147,0.19712557394365415
