idx_x,idx_y,crop_ratio,overlap_ratio
658,896,0.3316,0.5468656815380032
658,897,0.2664,0.9637017823461567
658,898,0.061,1.0
658,899,0.0758,0.92711943232355
658,912,0.0092,0.5504985160676608
659,896,0.3862,0.707597476506146
659,897,0.2403,1.0
659,898,0.1105,1.0
659,899,0.0368,1.0
659,900,0.042,1.0
659,901,0.0005,0.6820126645142826
659,912,0.003,0.8357406314805432
659,914,0.0731,0.5684085999929278
660,897,0.009,0.9970334321883654
660,898,0.042,1.0
660,899,0.0524,1.0
660,900,0.2045,1.0
660,901,0.1335,1.0
660,902,0.5574,1.0
660,903,0.6164,0.8381300298302117
660,912,0.15,0.9009521673660906
660,913,0.846,0.9973829181342839
660,914,0.8834,0.9748457184629545
660,915,0.9163,1.0
661,897,0.0426,0.693290435699746
661,898,0.0282,1.0
661,899,0.1998,1.0
661,900,0.6803,1.0
661,901,0.3263,1.0
661,902,0.6713,1.0
661,903,0.5632,1.0
661,904,0.1002,0.46251562606196134
661,913,0.4379,0.9898739407041761
661,914,0.7865,1.0
661,915,0.8387,1.0
661,916,0.4935,0.8291571028294953
661,934,0.02,0.4509746580849963
661,950,0.0481,0.4861984378680501
661,956,0.8813,0.9277047131059575
662,898,0.0089,0.9960903486930699
662,900,0.5604,1.0
662,901,0.6998,1.0
662,902,0.6566,1.0
662,903,0.4465,0.9952505529346396
662,905,0.0018,0.6171601766887632
662,914,0.3974,1.0
662,915,0.8042,1.0
662,929,0.0867,0.7210784042497549
662,950,0.0492,0.7481123012393389
662,955,0.5985,0.9693104313122741
662,956,0.8517,1.0
662,957,0.1011,0.8434822439146277
662,958,0.4598,0.7156593069853373
662,973,0.3547,0.6282009576205533
662,974,0.5992,1.0
662,975,0.8114,0.933895579172474
662,976,0.4649,0.716598709808614
662,977,0.1911,0.6098994464455297
663,898,0.0006,0.681732341980269
663,899,0.1873,1.0
663,900,0.717,1.0
663,901,0.6624,1.0
663,902,0.6303,1.0
663,903,0.1218,1.0
663,904,0.1075,1.0
663,905,0.0139,1.0
663,913,0.0979,0.5918301537796966
663,914,0.9151,1.0
663,915,0.488,1.0
663,927,0.5797,0.8659512292777564
663,928,0.4675,1.0
663,929,0.0338,1.0
663,930,0.1638,1.0
663,931,0.3104,1.0
663,932,0.319,0.9950914202478264
663,933,0.2257,0.5007285692609146
663,937,0.0178,0.4938990823860007
663,938,0.0056,0.6046698040698835
663,941,0.1868,0.6195907517967673
663,943,0.191,0.5671262702159922
663,944,0.0531,0.3431214605725629
663,949,0.0377,0.647341318492282
663,950,0.3107,0.808293310633045
663,956,0.725,1.0
663,957,0.1811,1.0
663,958,0.9783,1.0
663,959,0.9197,0.9485721471987153
663,973,0.4066,0.5979604853074598
663,974,0.7483,1.0
663,975,0.5919,1.0
663,976,0.0419,1.0
663,977,0.2519,1.0
663,978,0.0969,1.0
663,979,0.4928,1.0
663,980,0.3029,0.7378938945674434
664,899,0.3002,0.9893466208375361
664,900,0.4013,1.0
664,901,0.5912,1.0
664,902,0.5582,1.0
664,903,0.1429,1.0
664,904,0.2485,1.0
664,905,0.2961,1.0
664,906,0.6706,1.0
664,907,0.1285,0.6576418255787524
664,910,0.5367,0.8234301115571284
664,913,0.1524,0.5915198322237939
664,914,0.7718,0.9981710726334123
664,915,0.406,0.9016982288121533
664,925,0.6637,0.6691473796698901
664,926,0.9746,1.0
664,927,0.9993,1.0
664,928,0.772,1.0
664,929,0.3171,1.0
664,931,0.0201,1.0
664,932,0.0375,1.0
664,933,0.0287,0.7976326173903907
664,935,0.0483,0.8018382489455437
664,937,0.0291,0.5563661808726742
664,938,0.0025,0.6954227910035676
664,939,0.0227,0.9561815146100026
664,941,0.4718,0.9947139063527188
664,942,0.5988,1.0
664,943,0.0964,1.0
664,944,0.179,0.9977406001473358
664,945,0.4571,1.0
664,946,0.9407,1.0
664,947,0.4424,0.9640849807647188
664,950,0.192,0.8180903554634917
664,955,0.0417,0.40346685648402764
664,956,0.0985,0.9983043650493224
664,957,0.2603,1.0
664,958,0.6263,1.0
664,959,0.6726,1.0
664,974,0.8603,0.8559800740370006
664,975,0.4581,1.0
664,976,0.3271,1.0
664,977,0.4204,1.0
664,978,0.4426,1.0
664,979,0.6689,1.0
665,899,0.2669,0.6441854454325512
665,900,0.2884,1.0
665,901,0.2167,1.0
665,902,0.6906,1.0
665,903,0.652,1.0
665,904,0.73,1.0
665,905,0.1332,1.0
665,906,0.0662,1.0
665,907,0.1299,0.9897802232062723
665,908,0.0976,0.9588866476492697
665,909,0.8211,1.0
665,910,0.1766,0.9338042340328679
665,911,0.1143,0.6239338642171469
665,913,0.1173,0.8072343091192586
665,914,0.3011,0.9219148849270404
665,916,0.0261,0.3573893586661286
665,922,0.1465,0.831421783114316
665,925,0.8705,1.0
665,926,0.9601,1.0
665,927,0.8734,1.0
