idx_x,idx_y,crop_ratio,overlap_ratio
267,658,0.321,0.6071806433505844
268,656,0.0189,1.0
268,657,0.0632,1.0
268,658,0.0031,1.0
269,656,0.0263,1.0
269,657,0.18,1.0
269,658,0.0045,1.0
269,661,0.0079,1.0
270,651,0.0121,0.8988121656432322
270,655,0.0054,0.9326969113491026
270,656,0.026,1.0
270,657,0.1108,1.0
270,658,0.0422,1.0
270,661,0.0001,1.0
270,662,0.0267,1.0
271,651,0.0264,1.0
271,652,0.0131,1.0
271,653,0.01,0.9177491889246003
271,654,0.0162,0.9482505144545175
271,657,0.1734,1.0
271,658,0.0562,1.0
271,659,0.0163,1.0
271,667,0.0069,1.0
271,668,0.0071,1.0
271,671,0.1438,1.0
271,672,0.9704,1.0
272,653,0.0419,1.0
272,654,0.0356,1.0
272,655,0.0372,1.0
272,656,0.0014,1.0
272,657,0.1511,1.0
272,658,0.0224,1.0
272,660,0.0088,1.0
272,668,0.0067,1.0
272,669,0.0161,1.0
272,670,0.0047,1.0
272,672,0.1563,1.0
272,673,0.1285,0.7525559844649718
273,653,0.0127,1.0
273,654,0.0157,1.0
273,655,0.0156,1.0
273,656,0.0141,1.0
273,657,0.1599,1.0
273,658,0.0682,1.0
273,659,0.0155,1.0
273,660,0.0356,1.0
273,661,0.0043,1.0
273,662,0.004,1.0
273,668,0.0015,1.0
273,669,0.0209,1.0
273,670,0.0053,1.0
274,650,0.0059,0.7664919382110804
274,651,0.0009,1.0
274,653,0.0012,1.0
274,654,0.0576,1.0
274,655,0.0536,1.0
274,656,0.095,1.0
274,657,0.4491,1.0
274,658,0.0824,1.0
274,659,0.0127,1.0
274,660,0.0031,1.0
274,662,0.0678,1.0
274,663,0.0049,1.0
274,664,0.0821,1.0
274,668,0.0064,1.0
274,669,0.0476,1.0
274,670,0.0294,0.7589323222299295
275,654,0.0087,1.0
275,655,0.0058,1.0
275,656,0.0347,1.0
275,657,0.0161,1.0
275,658,0.0013,1.0
275,659,0.2101,1.0
275,660,0.0565,1.0
275,661,0.0025,1.0
275,662,0.0687,1.0
275,663,0.3838,1.0
275,664,0.1654,1.0
275,667,0.1601,1.0
275,668,0.1423,1.0
275,669,0.0047,1.0
275,670,0.0542,0.9768219880087332
276,651,0.0631,1.0
276,652,0.0011,1.0
276,655,0.0122,1.0
276,656,0.0231,1.0
276,657,0.0517,1.0
276,658,0.0083,1.0
276,659,0.0098,1.0
276,660,0.6157,1.0
276,661,0.063,1.0
276,662,0.1659,1.0
276,663,0.1512,1.0
276,664,0.2189,1.0
276,665,0.0461,1.0
276,667,0.1218,1.0
276,668,0.2878,1.0
276,670,0.0014,1.0
276,672,0.1739,0.6432132931708535
277,651,0.6142,1.0
277,652,0.3256,1.0
277,653,0.0199,1.0
277,654,0.061,1.0
277,655,0.1041,1.0
277,656,0.0815,1.0
277,657,0.1245,1.0
277,658,0.0645,1.0
277,659,0.0029,1.0
277,660,0.7401,1.0
277,661,0.7248,1.0
277,662,0.3234,1.0
277,663,0.0071,1.0
