idx_x,idx_y,crop_ratio,overlap_ratio
307,960,0.0427,0.48230133233719696
307,961,0.1047,0.8649659987499736
308,961,0.1,0.89758381437866
308,962,0.6636,1.0
308,963,0.1,0.9581930956567346
308,964,0.0776,0.6039360510855887
309,903,0.003,0.9878905808883762
309,961,0.0129,0.782702418129973
309,962,0.2406,1.0
309,964,0.0876,0.7427813673201151
310,893,0.0024,0.5015375143853736
310,899,0.0016,0.8493950996935801
310,901,0.0092,0.9280320121780923
310,959,0.038,0.5708589225657843
310,960,0.0032,0.9114746499052848
310,961,0.198,1.0
310,963,0.009,1.0
310,965,0.3917,0.7778973697007168
311,894,0.0073,1.0
311,895,0.3048,0.8216393245766687
311,899,0.0123,1.0
311,900,0.0154,1.0
311,901,0.0436,1.0
311,902,0.0013,1.0
311,904,0.0024,1.0
311,905,0.0141,1.0
311,906,0.0652,0.6221305194588791
311,958,0.0755,1.0
311,959,0.0237,1.0
311,960,0.1115,1.0
311,961,0.2526,1.0
311,962,0.169,1.0
311,963,0.3859,1.0
311,964,0.5794,1.0
311,965,0.4435,1.0
311,966,0.521,0.7881395154273259
312,885,0.004,0.8296991267460369
312,886,0.0729,1.0
312,888,0.0202,0.9384183480462926
312,889,0.0001,0.5327467129911028
312,895,0.0612,1.0
312,898,0.0324,1.0
312,899,0.0628,1.0
312,900,0.1189,1.0
312,901,0.0297,1.0
312,903,0.0045,1.0
312,904,0.0006,1.0
312,909,0.014,0.9268759170075274
312,910,0.027,0.5744072978963181
312,957,0.0023,0.7165918988796706
312,958,0.074,1.0
312,959,0.125,1.0
312,960,0.3004,1.0
312,961,0.956,1.0
312,962,0.9825,1.0
312,963,0.9491,1.0
312,964,0.4217,1.0
312,965,0.4035,1.0
312,966,0.2017,1.0
312,967,0.152,0.9986775550704501
312,968,0.7032,0.821256473302865
312,969,0.6196,0.5173261192205921
313,879,0.1832,0.40777265056365014
313,885,0.0008,1.0
313,886,0.1679,1.0
313,888,0.0331,1.0
313,889,0.0888,1.0
313,890,0.0044,1.0
313,891,0.0002,0.545963252819444
313,892,0.0045,0.5889435181793519
313,895,0.1292,1.0
313,896,0.4486,0.9866534612754233
313,897,0.2187,0.9912293596794172
313,898,0.2799,1.0
313,899,0.2354,1.0
313,900,0.0562,1.0
313,901,0.0107,1.0
313,902,0.0504,1.0
313,903,0.0815,1.0
313,904,0.0924,1.0
313,907,0.0336,0.49940700361496176
313,908,0.043,0.6841364334942625
313,911,0.0326,0.5854082295256713
313,912,0.0022,0.8509486472576359
313,913,0.3157,0.903580687270629
313,914,0.0383,0.5658332240204971
313,957,0.05,1.0
313,958,0.3006,1.0
313,959,0.5861,1.0
313,960,0.4441,1.0
313,961,0.9182,1.0
313,962,0.1964,1.0
313,963,0.4152,1.0
313,964,0.0623,1.0
313,965,0.893,1.0
313,966,0.7469,1.0
313,967,0.4279,1.0
313,968,0.6877,1.0
313,969,0.9226,1.0
313,970,0.1033,0.557075886121951
314,877,0.0515,0.4027586687993482
314,880,0.0324,0.8916898423834015
314,881,0.0009,0.9927469469498835
314,886,0.0021,1.0
314,890,0.0034,1.0
314,891,0.0015,0.9999125002831146
314,892,0.1668,1.0
314,893,0.1837,1.0
314,894,0.005,1.0
314,895,0.0927,1.0
314,896,0.1661,1.0
314,897,0.1705,1.0
314,898,0.167,1.0
314,899,0.3304,1.0
314,900,0.0484,1.0
314,901,0.0165,1.0
314,902,0.0407,1.0
314,903,0.2026,1.0
314,904,0.0459,1.0
314,905,0.0911,1.0
314,906,0.1808,1.0
314,907,0.0436,1.0
314,908,0.2727,1.0
314,909,0.0002,1.0
314,910,0.043,1.0
314,913,0.5843,1.0
314,914,0.3301,0.7076870894674769
314,957,0.1396,1.0
314,958,0.5788,1.0
314,959,0.7168,1.0
314,960,0.2993,1.0
314,961,0.5413,1.0
314,962,0.2978,1.0
314,963,0.0412,1.0
314,964,0.0915,1.0
314,965,0.2674,1.0
314,966,0.6836,1.0
314,967,0.6044,1.0
314,968,0.5127,1.0
314,969,0.2096,1.0
315,878,0.0018,0.9262899913904175
315,879,0.1145,1.0
315,880,0.2094,1.0
315,887,0.0201,1.0
315,888,0.0986,1.0
315,889,0.0087,1.0
315,890,0.0046,1.0
315,891,0.0406,1.0
315,892,0.0676,1.0
315,893,0.1139,1.0
315,894,0.0074,1.0
315,895,0.0019,1.0
315,896,0.1603,1.0
315,897,0.0764,1.0
315,898,0.1173,1.0
315,899,0.1532,1.0
315,900,0.2318,1.0
315,901,0.0834,1.0
315,904,0.1182,1.0
315,905,0.072,1.0
315,906,0.1941,1.0
315,907,0.0642,1.0
315,908,0.0483,1.0
315,909,0.0954,1.0
315,910,0.0653,1.0
315,911,0.018,1.0
315,913,0.1647,1.0
315,914,0.0333,0.8515417518022301
315,915,0.0038,0.7539387306009411
315,916,0.0749,0.5886587341073882
315,955,0.1883,0.9680199026728944
315,956,0.032,1.0
315,957,0.1941,1.0
