idx_x,idx_y,crop_ratio,overlap_ratio
231,1081,0.0255,0.8882253105141389
232,1081,0.0626,1.0
232,1082,0.1675,0.7892603035560183
232,1084,0.0403,0.43545248988127405
233,1081,0.4094,1.0
233,1082,0.0006,1.0
233,1083,0.0039,0.9940966474557704
233,1086,0.1225,0.8246666338152638
234,1081,0.7317,0.9999340698242656
234,1082,0.1215,1.0
234,1083,0.0569,1.0
234,1084,0.0524,1.0
234,1085,0.1163,1.0
234,1086,0.1505,0.7899100693164142
235,1079,0.3307,0.39855893461644526
235,1081,0.6322,1.0
235,1082,0.7963,1.0
235,1083,0.4172,1.0
235,1084,0.0355,1.0
235,1085,0.1152,0.9578982984860619
235,1096,0.256,0.4457477906664957
235,1097,0.3195,0.8923398726652995
235,1098,0.0445,0.9888768196151846
235,1099,0.075,0.5556750885149085
236,1078,0.2672,1.0
236,1079,0.489,1.0
236,1080,0.6392,1.0
236,1081,0.8102,1.0
236,1082,0.5342,1.0
236,1083,0.5292,1.0
236,1084,0.393,1.0
236,1085,0.4565,0.5800360566002224
236,1097,0.3796,1.0
236,1098,0.1534,1.0
236,1099,0.0913,0.8125207591373473
237,1069,0.4266,0.622545562537716
237,1070,0.8727,0.8042531527607047
237,1071,0.657,0.9597391187912399
237,1072,0.8337,1.0
237,1073,0.6784,1.0
237,1074,0.4208,1.0
237,1075,0.0516,1.0
237,1076,0.581,1.0
237,1077,0.4485,1.0
237,1078,0.2405,1.0
237,1079,0.5235,1.0
237,1080,0.4056,1.0
237,1081,0.2785,1.0
237,1082,0.3784,1.0
237,1083,0.1639,1.0
237,1084,0.1246,1.0
237,1085,0.1434,0.9517631891695107
237,1097,0.2179,0.9782395943512227
237,1098,0.1922,1.0
237,1099,0.0189,0.9445409068206678
238,1066,0.0114,0.9999993256204812
238,1067,0.0922,1.0
238,1068,0.6638,1.0
238,1069,0.7989,1.0
238,1070,0.9274,1.0
238,1071,0.7243,1.0
238,1072,0.6812,1.0
238,1073,0.3812,1.0
238,1074,0.5197,1.0
238,1075,0.0279,1.0
238,1076,0.0237,1.0
238,1077,0.1467,1.0
238,1078,0.1843,1.0
238,1079,0.2633,1.0
238,1080,0.5792,1.0
238,1081,0.2799,1.0
238,1082,0.3674,1.0
238,1083,0.3978,1.0
238,1084,0.2345,1.0
238,1085,0.1725,0.9853401600850964
238,1095,0.0016,0.649316014848327
238,1096,0.0026,0.9258067286231071
238,1097,0.0093,1.0
238,1098,0.0143,1.0
238,1099,0.1943,1.0
239,1062,0.1045,0.6945232427670562
239,1063,0.1325,0.9613249559981387
239,1064,0.1865,1.0
239,1065,0.0344,1.0
239,1068,0.7697,1.0
239,1069,0.8957,1.0
239,1070,0.9725,1.0
239,1071,0.4163,1.0
239,1072,0.3634,1.0
239,1073,0.6506,1.0
239,1074,0.3628,1.0
239,1075,0.0683,1.0
239,1076,0.2759,1.0
239,1077,0.087,1.0
239,1078,0.1817,1.0
239,1079,0.0813,1.0
239,1080,0.2161,1.0
239,1081,0.1034,1.0
239,1082,0.1576,1.0
239,1083,0.2784,1.0
239,1084,0.2721,1.0
239,1085,0.2691,1.0
239,1086,0.0408,1.0
239,1087,0.01,1.0
239,1088,0.3822,0.8810579383088645
239,1089,0.4705,0.7903941127150319
239,1090,0.3062,0.9147853365190871
239,1091,0.0132,0.9701559307037603
