idx_x,idx_y,crop_ratio,overlap_ratio
513,846,0.5612,0.5832351299677943
514,845,0.3166,0.9504872091181549
514,846,0.1427,1.0
514,847,0.3647,0.8741854609422725
514,874,0.0798,0.9451989966824039
515,843,0.0696,0.9012312876956439
515,844,0.6761,1.0
515,845,0.3979,1.0
515,846,0.2231,1.0
515,847,0.721,1.0
515,848,0.9357,0.7173266567276987
515,849,0.6542,0.5337787120096099
515,872,0.3517,0.9120675992385104
515,873,0.2307,1.0
515,874,0.0297,1.0
515,875,0.0274,1.0
515,899,0.0189,0.9437587824016593
516,841,0.0637,0.8293650421093323
516,842,0.5668,1.0
516,843,0.5056,1.0
516,844,0.3193,1.0
516,845,0.4856,1.0
516,846,0.8162,1.0
516,847,0.7299,1.0
516,848,0.5631,1.0
516,849,0.9304,0.9789136607903539
516,870,0.2894,0.8967139532209681
516,871,0.5935,1.0
516,872,0.6093,1.0
516,873,0.4058,1.0
516,874,0.2095,1.0
516,875,0.6289,1.0
516,876,0.0684,0.9681600635567796
516,898,0.0293,1.0
516,899,0.1804,1.0
516,900,0.0701,0.7379861717934969
517,840,0.2339,0.8601635745749345
517,841,0.2403,1.0
517,842,0.2724,1.0
517,843,0.5805,1.0
517,844,0.6296,1.0
517,845,0.3611,1.0
517,846,0.5256,1.0
517,847,0.6459,1.0
517,848,0.6391,1.0
517,868,0.3417,0.8822631159257929
517,869,0.5672,1.0
517,870,0.3214,1.0
517,871,0.8412,1.0
517,872,0.4796,1.0
517,873,0.2101,1.0
517,874,0.2495,1.0
517,875,0.4819,1.0
517,876,0.3726,1.0
517,898,0.1104,1.0
517,899,0.4591,1.0
517,900,0.2064,1.0
518,841,0.2468,1.0
518,842,0.2324,1.0
518,843,0.7422,1.0
518,844,0.384,1.0
518,845,0.5435,1.0
518,846,0.2635,1.0
518,847,0.3968,1.0
518,848,0.6053,1.0
518,849,0.1539,0.5611992111342406
518,866,0.2378,0.8725418294897848
518,867,0.4044,1.0
518,868,0.6917,1.0
518,869,0.5468,1.0
518,870,0.4783,1.0
518,871,0.2087,1.0
518,872,0.5442,1.0
518,873,0.5261,1.0
518,874,0.3892,1.0
518,875,0.2709,1.0
518,876,0.5225,1.0
518,877,0.0359,0.8557424500628716
518,892,0.0496,1.0
518,893,0.0708,1.0
518,894,0.235,1.0
518,895,0.1812,1.0
518,896,0.2876,1.0
518,897,0.0951,1.0
518,898,0.4424,1.0
518,899,0.2294,1.0
518,900,0.6791,1.0
518,901,0.065,0.812605504439742
519,841,0.2492,0.7956268885234049
519,842,0.6819,1.0
519,843,0.3795,1.0
519,844,0.5269,1.0
519,845,0.7079,1.0
519,846,0.2164,1.0
519,847,0.8923,1.0
519,848,0.5425,1.0
519,849,0.726,0.5118033721900038
519,864,0.3267,0.8351682673872113
519,865,0.2286,1.0
519,866,0.6724,1.0
519,867,0.1674,1.0
519,868,0.4731,1.0
519,869,0.1648,1.0
519,870,0.7874,1.0
519,871,0.4246,1.0
519,872,0.5923,1.0
519,873,0.3834,1.0
519,874,0.2224,1.0
519,875,0.2128,1.0
519,876,0.2155,1.0
519,877,0.4297,1.0
519,878,0.0046,0.7604633435023374
519,891,0.0016,1.0
519,892,0.0535,1.0
519,893,0.3111,1.0
519,894,0.1164,1.0
519,895,0.768,1.0
519,896,0.4404,1.0
519,897,0.1378,1.0
519,898,0.7828,1.0
519,899,0.7873,1.0
519,900,0.3234,1.0
519,901,0.0527,0.9125869297867215
519,921,0.3742,0.9443494486756981
520,842,0.7747,0.9997683803381929
520,843,0.2198,1.0
520,844,0.4577,1.0
520,845,0.6293,1.0
520,846,0.0829,1.0
520,847,0.4986,1.0
520,848,0.775,1.0
520,862,0.7345,0.7793719643927774
520,863,0.7743,1.0
520,864,0.5068,1.0
520,865,0.584,1.0
520,866,0.3865,1.0
520,867,0.3327,1.0
520,868,0.4059,1.0
520,869,0.2771,1.0
520,870,0.6984,1.0
520,871,0.4698,1.0
520,872,0.29,1.0
520,873,0.5271,1.0
520,874,0.3551,1.0
520,875,0.1839,1.0
520,876,0.1042,1.0
520,877,0.5785,1.0
520,878,0.0614,1.0
520,887,0.0808,1.0
520,888,0.0442,1.0
520,889,0.2269,1.0
520,890,0.0907,1.0
520,891,0.1696,1.0
520,892,0.2396,1.0
520,893,0.0928,1.0
520,894,0.1413,1.0
520,895,0.1206,1.0
520,896,0.126,1.0
520,897,0.245,1.0
520,898,0.4336,1.0
520,899,0.7164,1.0
520,900,0.1825,1.0
520,901,0.0433,1.0
520,919,0.7582,0.6602521801695601
520,920,0.3346,0.9969997531067163
520,921,0.8173,1.0
520,922,0.5377,0.6915684570577341
521,842,0.691,0.9491107309009731
521,843,0.3718,1.0
521,844,0.1816,1.0
521,845,0.336,1.0
521,846,0.4401,1.0
521,847,0.2394,1.0
521,848,0.2067,1.0
521,849,0.3005,0.8613595159907733
521,853,0.5016,0.780836760082612
521,860,0.0511,0.7349217388386714
521,862,0.4916,1.0
521,863,0.7754,1.0
521,864,0.2397,1.0
521,865,0.6687,1.0
521,866,0.5574,1.0
521,867,0.4638,1.0
521,868,0.5382,1.0
521,869,0.7611,1.0
521,870,0.2257,1.0
521,871,0.4176,1.0
521,872,0.2451,1.0
521,873,0.4066,1.0
521,874,0.4205,1.0
521,875,0.8083,1.0
521,876,0.5361,1.0
521,877,0.3252,1.0
521,878,0.0723,1.0
521,886,0.08,1.0
521,887,0.3548,1.0
521,888,0.1008,1.0
521,889,0.6154,1.0
521,890,0.6226,1.0
521,891,0.5191,1.0
521,892,0.1182,1.0
521,893,0.5827,1.0
521,894,0.0322,1.0
521,895,0.2872,1.0
521,896,0.2121,1.0
521,897,0.3162,1.0
521,898,0.4119,1.0
521,899,0.3859,1.0
521,900,0.2777,1.0
521,901,0.0493,1.0
521,902,0.7662,0.9549828373770871
521,917,0.0617,0.5630685027374259
521,918,0.1559,0.9750843439896525
521,919,0.1181,1.0
521,920,0.4168,0.8647293198375904
522,840,0.5064,0.6850527696650319
522,841,0.3165,0.998823648766132
522,842,0.3076,1.0
522,843,0.9202,1.0
522,844,0.7264,1.0
522,845,0.4128,1.0
522,846,0.2765,1.0
522,847,0.0638,1.0
522,848,0.4847,1.0
522,849,0.5508,1.0
522,852,0.4189,0.9998573660134127
522,853,0.3615,1.0
522,854,0.6188,0.6422804369725701
522,858,0.2901,0.6719151393996652
522,861,0.0013,1.0
522,862,0.0451,1.0
522,863,0.7468,1.0
522,864,0.4974,1.0
522,865,0.4938,1.0
522,866,0.7489,1.0
522,867,0.7467,1.0
522,868,0.6159,1.0
522,869,0.6179,1.0
522,870,0.6758,1.0
522,871,0.7742,1.0
522,872,0.8335,1.0
522,873,0.2461,1.0
522,874,0.4638,1.0
522,875,0.2446,1.0
522,876,0.1887,1.0
522,877,0.2034,1.0
522,878,0.4991,1.0
522,879,0.0985,1.0
522,886,0.0114,1.0
522,887,0.2366,1.0
522,888,0.151,1.0
522,889,0.7787,1.0
522,890,0.3353,1.0
522,891,0.3496,1.0
522,892,0.0023,1.0
522,893,0.0236,1.0
522,894,0.034,1.0
522,895,0.0059,1.0
522,896,0.4896,1.0
522,897,0.6715,1.0
522,898,0.6086,1.0
522,899,0.5538,1.0
522,900,0.521,1.0
522,901,0.1325,1.0
522,902,0.4719,1.0
522,903,0.4848,0.8780873564128666
522,904,0.0016,0.6268543487147756
522,916,0.7289,0.9426854519432929
522,917,0.4889,1.0
522,918,0.1669,1.0
522,919,0.5288,1.0
522,920,0.969,0.9086639781525625
523,838,0.266,0.5854850385257743
523,839,0.5585,0.9832790631394255
523,840,0.3093,1.0
523,841,0.4988,1.0
523,842,0.1366,1.0
523,843,0.4663,1.0
523,844,0.366,1.0
523,845,0.5591,1.0
523,846,0.4078,1.0
523,847,0.4031,1.0
523,848,0.4065,1.0
523,849,0.7888,1.0
523,850,0.2545,0.9139063808988873
523,851,0.1066,0.9023059468303202
523,852,0.1856,1.0
523,853,0.5005,1.0
523,854,0.967,0.9908665250120413
523,856,0.0975,0.6180589151948225
523,857,0.5005,0.986339078436254
523,858,0.8233,1.0
523,859,0.2456,1.0
523,860,0.0028,1.0
523,864,0.2342,1.0
523,865,0.3071,1.0
523,866,0.9348,1.0
523,867,0.9501,1.0
523,868,0.9587,1.0
523,869,0.5725,1.0
523,870,0.5177,1.0
523,871,0.9339,1.0
523,872,0.9955,1.0
523,873,0.6249,1.0
523,874,0.768,1.0
523,875,0.6876,1.0
523,876,0.4859,1.0
523,877,0.7462,1.0
523,878,0.6795,1.0
523,879,0.6174,1.0
523,880,0.0304,1.0
523,886,0.0125,1.0
523,887,0.2177,1.0
523,888,0.3181,1.0
523,889,0.5499,1.0
523,890,0.1718,1.0
523,891,0.1302,1.0
523,892,0.0209,1.0
523,893,0.0148,1.0
523,894,0.0034,1.0
523,896,0.2737,1.0
523,897,0.1974,1.0
523,898,0.0447,1.0
523,899,0.3178,1.0
523,900,0.4362,1.0
523,901,0.2395,1.0
523,902,0.4357,1.0
523,903,0.9695,1.0
523,904,0.2451,0.993254922529188
523,916,0.2792,0.7964377107926979
523,917,0.3982,1.0
523,918,0.329,1.0
523,919,0.1128,1.0
523,920,0.8476,1.0
524,822,0.5642,0.543901600115341
524,823,0.3658,0.680696306756709
524,837,0.002,0.942172340132051
524,838,0.1597,1.0
524,839,0.1882,1.0
524,840,0.194,1.0
524,841,0.6581,1.0
524,842,0.3754,1.0
524,843,0.6477,1.0
524,844,0.673,1.0
524,845,0.5843,1.0
524,846,0.484,1.0
524,847,0.3139,1.0
524,848,0.4673,1.0
524,849,0.3932,1.0
524,850,0.5531,1.0
524,851,0.2134,1.0
524,852,0.0252,1.0
524,853,0.681,1.0
524,854,0.7517,1.0
524,855,0.6955,1.0
524,856,0.2732,1.0
524,857,0.8354,1.0
524,858,0.9531,1.0
524,859,0.353,1.0
524,864,0.008,1.0
524,865,0.5069,1.0
524,866,0.9677,1.0
524,867,0.9154,1.0
524,868,0.7448,1.0
524,869,0.3945,1.0
524,870,0.5075,1.0
524,871,0.8107,1.0
524,872,0.9276,1.0
524,873,0.5906,1.0
524,874,0.3901,1.0
524,875,0.331,1.0
524,876,0.6801,1.0
524,877,0.6251,1.0
524,878,0.7768,1.0
524,879,0.7174,1.0
524,880,0.1779,1.0
524,881,0.0005,1.0
524,886,0.0061,1.0
524,887,0.0001,1.0
524,888,0.3814,1.0
524,889,0.4606,1.0
524,890,0.0525,1.0
524,891,0.2259,1.0
524,892,0.8094,1.0
524,893,0.0421,1.0
524,896,0.2132,1.0
524,897,0.2469,1.0
524,898,0.2126,1.0
524,899,0.2823,1.0
524,900,0.6731,1.0
524,901,0.5885,1.0
524,902,0.758,1.0
524,903,0.6815,1.0
524,904,0.6044,1.0
524,905,0.4543,0.7422679309814814
524,917,0.3158,1.0
524,918,0.1311,1.0
524,919,0.6191,1.0
