idx_x,idx_y,crop_ratio,overlap_ratio
320,306,0.0331,0.5810597526215848
321,305,0.0184,0.6043614826218727
321,306,0.5231,1.0
321,307,0.3805,0.5323465639266456
322,304,0.061,0.893995708983129
322,305,0.0266,1.0
322,306,0.3345,1.0
322,312,0.224,0.3528569262208834
323,304,0.4249,1.0
323,305,0.0495,1.0
323,306,0.3694,1.0
323,307,0.1494,0.9863240320294351
323,309,0.0471,0.9326742606243522
323,312,0.0729,0.9198619095693202
324,304,0.8277,0.9834578231713846
324,305,0.0086,1.0
324,306,0.1423,1.0
324,307,0.406,1.0
324,308,0.05,1.0
324,309,0.0522,1.0
324,310,0.0488,1.0
324,311,0.0247,1.0
324,312,0.0313,1.0
324,313,0.3053,0.7043277206627295
325,304,0.2265,0.7056294746436721
325,305,0.1427,1.0
325,306,0.3563,1.0
325,307,0.4685,1.0
325,308,0.0272,1.0
325,309,0.059,1.0
325,310,0.0183,1.0
325,313,0.0044,0.996662930859044
326,300,0.4475,0.6272495616072905
326,301,0.5332,1.0
326,302,0.2071,1.0
326,303,0.1134,1.0
326,304,0.6775,1.0
326,305,0.1064,1.0
326,306,0.082,1.0
326,307,0.0591,1.0
326,309,0.0558,1.0
326,310,0.0515,1.0
326,314,0.6296,1.0
326,315,0.7642,0.9767262116865872
326,316,0.3265,0.7663700582634695
327,300,0.4032,0.7288906696853438
327,301,0.4304,1.0
327,302,0.2866,1.0
327,303,0.1137,1.0
327,304,0.0201,1.0
327,305,0.4052,1.0
327,306,0.5261,1.0
327,307,0.6358,1.0
327,308,0.2189,1.0
327,309,0.0014,1.0
327,310,0.0375,1.0
327,311,0.2203,1.0
327,312,0.0362,1.0
327,313,0.0485,1.0
327,314,0.1704,1.0
327,315,0.4417,1.0
327,316,0.6533,1.0
327,317,0.0433,1.0
328,300,0.3317,0.9868257196283967
328,301,0.6786,1.0
328,302,0.0742,1.0
328,303,0.0034,1.0
328,304,0.0219,1.0
328,305,0.0585,1.0
328,306,0.3284,1.0
328,307,0.3467,1.0
328,308,0.1989,1.0
328,309,0.534,1.0
328,310,0.2783,1.0
328,311,0.0914,1.0
328,312,0.0175,1.0
328,313,0.0111,1.0
328,314,0.0696,1.0
328,315,0.2601,1.0
328,316,0.2327,1.0
328,317,0.2169,1.0
328,320,0.5076,0.5486232598641223
328,321,0.3816,0.5572705001769127
329,293,0.2212,0.5854788874253213
329,299,0.6722,0.9673647189825229
329,300,0.0781,1.0
329,301,0.3436,1.0
329,302,0.3265,1.0
329,307,0.0195,1.0
329,308,0.0184,1.0
329,309,0.4004,1.0
329,310,0.5282,1.0
329,311,0.0039,1.0
329,312,0.0244,1.0
329,313,0.0014,1.0
329,314,0.3434,1.0
329,315,0.7381,1.0
329,316,0.6408,1.0
329,317,0.0707,1.0
329,318,0.1122,1.0
329,319,0.1654,1.0
329,320,0.2469,1.0
330,292,0.2475,0.9997767294685305
330,293,0.7087,1.0
330,295,0.005,0.9876710693052287
330,296,0.0008,0.9986355453613309
330,298,0.0107,0.9599137578035284
330,299,0.5283,1.0
330,300,0.6583,1.0
330,301,0.4901,1.0
330,302,0.3504,1.0
330,306,0.014,1.0
330,307,0.3619,1.0
330,308,0.1218,1.0
330,311,0.0054,1.0
330,313,0.0358,1.0
330,314,0.0637,1.0
330,315,0.0129,1.0
330,316,0.0342,1.0
330,317,0.0535,1.0
330,318,0.0523,1.0
330,319,0.0182,1.0
330,320,0.0348,1.0
331,292,0.8522,1.0
331,293,0.1534,1.0
331,295,0.0064,1.0
331,298,0.0431,1.0
331,299,0.5545,1.0
331,300,0.3667,1.0
331,301,0.3392,1.0
331,302,0.1142,1.0
331,303,0.0057,1.0
331,304,0.1323,1.0
331,306,0.0193,1.0
331,307,0.9381,1.0
331,308,0.0994,1.0
331,309,0.004,1.0
331,312,0.1049,1.0
331,313,0.3104,1.0
331,314,0.4779,1.0
331,316,0.018,1.0
331,317,0.4559,1.0
331,318,0.4085,1.0
331,319,0.0024,1.0
331,320,0.2224,1.0
331,321,0.4264,0.6621233659629232
332,291,0.343,0.8554178527228218
332,292,0.3483,1.0
332,293,0.14,1.0
332,294,0.0199,1.0
332,295,0.011,1.0
332,296,0.0026,1.0
332,297,0.0204,1.0
332,300,0.2248,1.0
332,301,0.1255,1.0
332,302,0.0517,1.0
332,303,0.0669,1.0
332,304,0.0521,1.0
332,305,0.0013,1.0
332,307,0.8284,1.0
332,308,0.0852,1.0
332,309,0.0215,1.0
332,310,0.0126,1.0
332,314,0.1598,1.0
332,315,0.5004,1.0
332,316,0.1611,1.0
332,317,0.0096,1.0
332,318,0.2571,1.0
332,319,0.1861,1.0
