idx_x,idx_y,crop_ratio,overlap_ratio
257,556,0.0072,1.0
260,549,0.0011,0.6557718650839804
263,545,0.0868,0.618073250222126
264,537,0.0017,1.0
264,547,0.0013,1.0
264,548,0.0029,1.0
264,549,0.0011,1.0
265,537,0.0025,1.0
265,544,0.0014,1.0
265,546,0.0002,1.0
265,547,0.0012,1.0
266,546,0.0013,1.0
266,553,0.0017,1.0
267,547,0.0019,1.0
269,540,0.004,1.0
269,548,0.0015,1.0
269,550,0.0011,1.0
270,532,0.0024,1.0
270,539,0.0013,1.0
270,541,0.0051,1.0
270,546,0.0052,1.0
270,549,0.0016,1.0
270,550,0.0022,1.0
271,532,0.004,1.0
271,533,0.0048,1.0
271,553,0.0018,1.0
272,523,0.003,0.815075929820154
272,529,0.0035,0.8947678538270414
273,550,0.0017,1.0
273,554,0.0035,1.0
274,532,0.0002,1.0
274,533,0.0076,1.0
274,548,0.0014,1.0
274,551,0.0038,1.0
274,557,0.0054,1.0
275,543,0.0005,1.0
276,538,0.0012,1.0
276,543,0.0025,1.0
276,554,0.0056,1.0
276,555,0.0073,1.0
276,561,0.0016,0.9611315442167871
277,532,0.0018,1.0
277,551,0.0028,1.0
277,552,0.0017,1.0
277,554,0.0056,1.0
278,526,0.0028,1.0
278,544,0.0022,1.0
278,546,0.0016,1.0
278,554,0.0035,1.0
279,539,0.0004,1.0
279,540,0.0038,1.0
279,554,0.0016,1.0
280,533,0.0017,0.5384093254096871
280,538,0.0203,1.0
280,539,0.0341,1.0
280,540,0.04,1.0
281,535,0.0032,0.5570511288087842
281,536,0.0267,0.7686509272821456
281,538,0.0367,1.0
281,539,0.0002,1.0
281,540,0.0013,1.0
281,541,0.0032,1.0
282,538,0.0196,0.6206037641658512
282,542,0.0012,1.0
282,547,0.0013,1.0
282,552,0.0015,0.6140220835722954
283,540,0.0203,1.0
283,541,0.0018,1.0
284,540,0.0013,1.0
284,544,0.0032,1.0
284,546,0.0024,1.0
285,542,0.0022,0.9397958205392708
285,543,0.0368,1.0
285,544,0.0038,1.0
285,546,0.0009,1.0
285,547,0.002,1.0
286,546,0.0347,1.0
286,547,0.0018,1.0
287,543,0.0029,0.4648927733638337
287,546,0.0041,1.0
288,548,0.0059,1.0
288,549,0.0057,1.0
289,549,0.0024,1.0
