idx_x,idx_y,crop_ratio,overlap_ratio
129,1139,0.0009,0.613806918338707
129,1140,0.1055,0.6254655217796098
130,1139,0.0655,0.996480872273858
130,1140,0.0685,1.0
130,1141,0.1668,1.0
130,1142,0.3492,0.6213496136299786
131,1139,0.1378,1.0
131,1141,0.0018,1.0
131,1142,0.1834,1.0
131,1143,0.341,0.5605160712821884
131,1212,0.4282,0.6366817130818963
131,1213,0.0367,0.7832379647071939
131,1214,0.0551,0.8955200922465527
131,1215,0.0348,0.5708417563864495
132,1138,0.172,0.5586675875574845
132,1139,0.5057,1.0
132,1140,0.4202,1.0
132,1141,0.0984,1.0
132,1142,0.2343,1.0
132,1143,0.257,1.0
132,1208,0.0318,0.8611433854636104
132,1209,0.1068,1.0
132,1210,0.1002,1.0
132,1211,0.009,1.0
132,1212,0.1022,1.0
132,1213,0.0263,1.0
132,1214,0.0743,1.0
132,1215,0.0022,1.0
133,1075,0.1461,0.6756628367141546
133,1138,0.2872,0.6512729226485942
133,1139,0.4553,1.0
133,1140,0.5781,1.0
133,1141,0.0367,1.0
133,1142,0.1633,1.0
133,1143,0.3871,1.0
133,1144,0.6177,0.9992810121631015
133,1172,0.513,0.5891949926206999
133,1207,0.0795,0.9963437481513048
133,1208,0.3068,1.0
133,1209,0.2475,1.0
133,1210,0.0116,1.0
133,1211,0.1515,1.0
133,1212,0.0043,1.0
133,1213,0.0063,1.0
133,1214,0.0004,1.0
133,1215,0.0029,1.0
134,1073,0.0114,0.7977029017302479
134,1074,0.1004,1.0
134,1075,0.2066,1.0
134,1076,0.2386,1.0
134,1077,0.3041,0.5753480908037524
134,1103,0.0021,0.9967637142093375
134,1104,0.0305,0.5090650469269603
134,1139,0.3293,1.0
134,1140,0.9415,1.0
134,1141,0.4664,1.0
134,1142,0.5272,1.0
134,1143,0.3022,1.0
134,1144,0.5903,1.0
134,1145,0.3308,0.9944640382758976
134,1163,0.2209,0.8594094267059462
134,1164,0.2912,0.9727510307970956
134,1165,0.0718,0.7929763859703671
134,1166,0.4974,0.5910501174991433
