idx_x,idx_y,crop_ratio,overlap_ratio
6,696,0.0006,1.0
6,697,0.0018,1.0
7,696,0.0495,1.0
7,697,0.1682,1.0
8,695,0.0011,1.0
8,696,0.018,1.0
8,697,0.0036,1.0
8,698,0.001,1.0
9,675,0.0551,0.5459149005459621
9,693,0.0001,1.0
9,694,0.0341,1.0
9,700,0.1079,1.0
9,701,0.0027,1.0
10,674,0.0432,1.0
10,675,0.1104,1.0
10,690,0.0013,1.0
10,694,0.0038,1.0
10,695,0.0092,1.0
10,700,0.0519,1.0
10,701,0.0863,1.0
10,702,0.2831,1.0
10,703,0.2631,1.0
10,704,0.1874,1.0
11,673,0.0015,0.9969112066438226
11,674,0.0214,1.0
11,675,0.0628,1.0
11,684,0.0028,1.0
11,685,0.0003,1.0
11,688,0.0023,1.0
11,689,0.0015,1.0
11,702,0.0983,1.0
11,703,0.8188,1.0
11,704,0.1556,1.0
12,672,0.0025,1.0
12,674,0.0028,1.0
12,675,0.0021,1.0
12,687,0.0039,1.0
12,688,0.0015,1.0
12,689,0.4945,1.0
12,690,0.4234,1.0
12,691,0.0021,1.0
12,705,0.0019,1.0
12,709,0.0037,0.8386893006891459
13,688,0.006,1.0
13,689,0.0592,1.0
13,690,0.0013,1.0
13,700,0.0012,1.0
13,710,0.0411,1.0
13,711,0.172,0.9986315576854249
13,712,0.0627,0.8330102880238556
13,713,0.2155,0.5542713003777899
14,671,0.0065,0.8458888614491877
14,672,0.0035,1.0
14,673,0.009,1.0
14,675,0.0019,1.0
14,676,0.0172,1.0
14,681,0.0243,1.0
14,682,0.0001,1.0
14,684,0.0155,1.0
14,687,0.0654,1.0
14,688,0.23,1.0
14,689,0.0012,1.0
14,690,0.0155,1.0
14,691,0.0573,1.0
14,694,0.0021,1.0
14,695,0.0025,1.0
14,697,0.0019,1.0
14,698,0.0016,1.0
14,710,0.0012,1.0
14,711,0.1263,1.0
14,712,0.0028,1.0
14,713,0.0947,1.0
14,714,0.0048,1.0
15,671,0.0022,0.9454556000761047
15,672,0.0143,1.0
15,673,0.0001,1.0
15,681,0.0016,1.0
15,682,0.0306,1.0
15,683,0.0409,1.0
15,684,0.003,1.0
15,687,0.0643,1.0
15,689,0.0519,1.0
15,690,0.3047,1.0
15,691,0.0862,1.0
15,710,0.0001,1.0
15,713,0.012,1.0
16,671,0.0095,0.6636268861510338
16,672,0.0007,1.0
16,676,0.0151,1.0
16,681,0.0558,1.0
16,682,0.0039,1.0
16,683,0.0085,1.0
16,684,0.0973,1.0
16,685,0.0115,1.0
16,686,0.0284,1.0
16,687,0.2706,1.0
16,688,0.0221,1.0
16,690,0.0049,1.0
16,691,0.0103,1.0
16,703,0.0013,1.0
16,713,0.0133,1.0
16,714,0.0716,1.0
16,715,0.0015,1.0
16,716,0.0629,1.0
17,671,0.0254,0.8101248942551428
17,672,0.0006,1.0
17,678,0.0028,1.0
17,680,0.0671,1.0
17,681,0.0136,1.0
17,684,0.1073,1.0
17,685,0.0744,1.0
17,686,0.0655,1.0
17,690,0.0043,1.0
17,691,0.01,1.0
17,706,0.0016,1.0
17,708,0.0021,1.0
17,710,0.013,1.0
17,713,0.0003,1.0
17,714,0.0019,1.0
17,716,0.0627,1.0
18,671,0.0315,0.9157703608794575
18,672,0.0013,1.0
18,680,0.0095,1.0
18,681,0.048,1.0
18,682,0.0485,1.0
18,684,0.0702,1.0
18,685,0.073,1.0
18,686,0.0081,1.0
18,698,0.0364,1.0
18,699,0.0765,1.0
18,704,0.0035,1.0
18,706,0.0004,1.0
18,707,0.011,1.0
18,708,0.0164,1.0
18,709,0.0314,1.0
18,710,0.0015,1.0
18,712,0.0822,1.0
18,713,0.3192,1.0
18,714,0.1121,1.0
18,715,0.0133,1.0
19,675,0.0025,1.0
19,680,0.0036,1.0
19,681,0.003,1.0
19,682,0.1157,1.0
19,683,0.0748,1.0
19,684,0.0058,1.0
19,685,0.0415,1.0
19,686,0.0019,1.0
19,687,0.0029,1.0
19,698,0.5489,1.0
19,699,0.3855,1.0
19,700,0.275,1.0
19,701,0.0461,1.0
19,703,0.0058,1.0
19,704,0.0014,1.0
19,709,0.0013,1.0
19,712,0.0038,1.0
19,713,0.053,1.0
19,714,0.0097,1.0
19,715,0.0108,1.0
19,717,0.0012,1.0
19,719,0.0018,1.0
19,720,0.0084,0.7144385284413584
20,675,0.0015,1.0
20,676,0.0028,1.0
20,679,0.0316,1.0
20,680,0.0054,1.0
20,681,0.0024,1.0
20,682,0.007,1.0
20,683,0.4078,1.0
20,684,0.086,1.0
20,698,0.1589,1.0
20,699,0.0968,1.0
20,704,0.0151,1.0
20,710,0.0983,1.0
20,711,0.0911,1.0
20,716,0.0031,1.0
20,719,0.1062,1.0
20,720,0.0839,0.8906339204148173
21,677,0.0035,1.0
21,678,0.0046,1.0
21,679,0.0421,1.0
21,681,0.3479,1.0
21,682,0.0406,1.0
21,683,0.1327,1.0
21,684,0.1568,1.0
21,704,0.009,1.0
21,708,0.0039,1.0
21,710,0.0497,1.0
21,711,0.0117,1.0
21,712,0.0549,1.0
21,713,0.0422,1.0
21,714,0.0013,1.0
21,718,0.0917,1.0
21,719,0.048,1.0
21,720,0.3975,0.7890494458330796
22,671,0.0014,1.0
22,677,0.0035,1.0
22,679,0.1042,1.0
22,680,0.0994,1.0
22,681,0.2884,1.0
22,683,0.0053,1.0
22,685,0.054,1.0
22,688,0.0374,1.0
22,689,0.1531,1.0
22,690,0.0042,1.0
22,701,0.0007,1.0
22,702,0.0048,1.0
22,703,0.0093,1.0
22,711,0.0021,1.0
22,712,0.0168,1.0
22,713,0.1239,1.0
22,714,0.0563,1.0
22,718,0.1167,1.0
22,719,0.005,1.0
22,720,0.0535,0.6879275859087188
23,671,0.0013,0.7342178222294498
23,674,0.2003,1.0
23,675,0.5933,1.0
23,676,0.0089,1.0
23,685,0.1108,1.0
23,686,0.3292,1.0
23,687,0.2892,1.0
23,688,0.0688,1.0
23,689,0.0438,1.0
23,690,0.0035,1.0
23,692,0.0193,1.0
23,693,0.0114,1.0
23,694,0.0006,1.0
23,696,0.0002,1.0
23,697,0.007,1.0
23,700,0.0038,1.0
23,701,0.0006,1.0
23,702,0.0344,1.0
23,703,0.044,1.0
23,715,0.0055,1.0
23,716,0.0056,1.0
23,718,0.0017,1.0
23,720,0.0089,0.8664439381032181
24,672,0.0044,1.0
24,673,0.009,1.0
24,674,0.0958,1.0
24,675,0.0506,1.0
24,684,0.0044,1.0
24,685,0.1524,1.0
24,686,0.6088,1.0
24,687,0.3709,1.0
24,688,0.4034,1.0
24,689,0.1793,1.0
24,690,0.2649,1.0
24,691,0.4981,1.0
24,692,0.4183,1.0
24,693,0.5846,1.0
24,694,0.1085,1.0
24,695,0.0038,1.0
24,696,0.0289,1.0
24,697,0.4129,1.0
24,698,0.001,1.0
24,700,0.0018,1.0
24,701,0.0072,1.0
24,702,0.0231,1.0
24,703,0.0588,1.0
24,704,0.0198,1.0
25,672,0.005,1.0
25,673,0.0003,1.0
25,674,0.0048,1.0
25,684,0.0442,1.0
25,685,0.0465,1.0
25,686,0.1078,1.0
25,687,0.0453,1.0
25,688,0.0043,1.0
25,689,0.2423,1.0
25,690,0.8491,1.0
25,691,0.8714,1.0
25,692,0.4589,1.0
25,693,0.7969,1.0
25,694,0.7476,1.0
25,695,0.3066,1.0
25,696,0.0089,1.0
25,697,0.018,1.0
25,698,0.0013,1.0
25,699,0.0508,1.0
25,700,0.2315,1.0
25,701,0.0185,1.0
25,702,0.0143,1.0
25,703,0.0453,1.0
25,704,0.0983,1.0
25,710,0.0045,1.0
25,711,0.0051,1.0
25,715,0.005,1.0
26,670,0.0057,0.3925655931779891
26,671,0.0022,0.9259645065885393
26,672,0.0014,1.0
26,675,0.0036,1.0
26,676,0.0003,1.0
26,682,0.0461,1.0
26,683,0.0064,1.0
26,684,0.007,1.0
26,685,0.0235,1.0
26,686,0.0243,1.0
26,687,0.0062,1.0
26,689,0.095,1.0
26,690,0.5051,1.0
26,691,0.279,1.0
26,692,0.5726,1.0
26,693,0.8662,1.0
26,694,0.5521,1.0
26,695,0.0391,1.0
26,697,0.0019,1.0
26,699,0.0178,1.0
26,700,0.125,1.0
26,701,0.1284,1.0
26,702,0.1585,1.0
26,703,0.0215,1.0
26,704,0.0035,1.0
27,670,0.0094,0.9312449638330265
27,671,0.0036,1.0
27,672,0.0061,1.0
27,675,0.0024,1.0
27,676,0.0073,1.0
27,678,0.0013,1.0
27,682,0.4248,1.0
27,683,0.1004,1.0
27,685,0.0041,1.0
27,686,0.0003,1.0
27,687,0.0305,1.0
27,688,0.0037,1.0
27,690,0.0056,1.0
27,691,0.1803,1.0
27,692,0.3879,1.0
27,693,0.2969,1.0
27,694,0.0029,1.0
27,700,0.1165,1.0
27,701,0.3959,1.0
27,702,0.2602,1.0
27,703,0.0041,1.0
27,704,0.0057,1.0
27,705,0.0182,1.0
27,709,0.0194,1.0
27,710,0.0241,1.0
28,671,0.0005,1.0
28,676,0.0112,1.0
28,677,0.0044,1.0
28,679,0.0327,1.0
28,680,0.0727,1.0
28,681,0.0068,1.0
28,682,0.2342,1.0
28,683,0.0027,1.0
28,690,0.0014,1.0
28,691,0.3327,1.0
28,692,0.1869,1.0
28,697,0.0013,1.0
28,704,0.0036,1.0
28,708,0.0153,1.0
28,709,0.0046,1.0
28,711,0.1189,1.0
28,712,0.0067,1.0
28,716,0.0013,1.0
28,719,0.0017,1.0
29,673,0.0078,1.0
29,679,0.0013,1.0
29,680,0.0213,1.0
29,681,0.1013,1.0
29,682,0.0054,1.0
29,683,0.0057,1.0
29,684,0.0013,1.0
29,703,0.0677,1.0
29,704,0.0585,1.0
29,708,0.001,1.0
29,709,0.0114,1.0
29,710,0.0032,1.0
29,711,0.0377,1.0
29,713,0.0006,1.0
29,715,0.0016,1.0
29,716,0.002,1.0
30,673,0.0096,1.0
30,674,0.0014,1.0
30,680,0.0049,1.0
30,681,0.0079,1.0
30,682,0.0032,1.0
30,683,0.0016,1.0
30,702,0.1056,1.0
30,703,0.8592,1.0
30,704,0.7056,1.0
30,705,0.4086,1.0
30,706,0.1754,1.0
30,707,0.0007,1.0
30,713,0.0018,1.0
30,717,0.0011,1.0
31,673,0.0008,1.0
31,674,0.0003,1.0
31,675,0.0022,1.0
31,678,0.0321,1.0
31,679,0.0016,1.0
31,690,0.0842,1.0
31,691,0.0456,1.0
31,692,0.6799,1.0
31,693,0.699,1.0
31,694,0.2886,1.0
31,695,0.0016,1.0
31,696,0.1682,1.0
31,697,0.1008,1.0
31,698,0.0371,1.0
31,699,0.1586,1.0
31,700,0.0188,1.0
31,702,0.0952,1.0
31,703,0.2307,1.0
31,704,0.4472,1.0
31,705,0.2413,1.0
31,706,0.2498,1.0
31,707,0.0224,1.0
31,708,0.0019,1.0
31,709,0.0028,1.0
31,714,0.0003,1.0
31,715,0.0016,1.0
32,678,0.0114,1.0
32,679,0.0015,1.0
32,680,0.2745,1.0
32,681,0.0674,1.0
32,682,0.0016,1.0
32,683,0.0015,1.0
32,687,0.0206,1.0
32,688,0.0085,1.0
32,689,0.0038,1.0
32,690,0.1211,1.0
32,691,0.0129,1.0
32,692,0.2565,1.0
32,693,0.4595,1.0
32,694,0.2328,1.0
32,695,0.0162,1.0
32,696,0.3766,1.0
32,697,0.3963,1.0
32,699,0.2124,1.0
32,700,0.4797,1.0
32,702,0.3033,1.0
32,703,0.1377,1.0
32,704,0.0111,1.0
32,705,0.1487,1.0
32,706,0.1056,1.0
32,716,0.0023,1.0
32,717,0.0013,1.0
32,723,0.0033,1.0
33,680,0.6099,1.0
33,681,0.1474,1.0
33,682,0.0105,1.0
33,683,0.0046,1.0
33,684,0.0067,1.0
33,685,0.0013,1.0
33,687,0.0002,1.0
33,689,0.2073,1.0
33,690,0.865,1.0
33,691,0.2492,1.0
33,692,0.0045,1.0
33,693,0.0009,1.0
33,694,0.0008,1.0
33,695,0.0142,1.0
33,696,0.0536,1.0
33,697,0.0905,1.0
33,699,0.5504,1.0
33,700,0.8467,1.0
33,701,0.1675,1.0
33,702,0.0265,1.0
33,703,0.2216,1.0
33,704,0.1408,1.0
33,708,0.0038,1.0
33,709,0.0042,1.0
33,710,0.0016,1.0
34,672,0.0052,0.8443313813239754
34,680,0.0025,1.0
34,681,0.0079,1.0
34,688,0.0046,1.0
34,690,0.0425,1.0
34,691,0.3803,1.0
34,692,0.1372,1.0
34,693,0.1118,1.0
34,695,0.1313,1.0
34,696,0.0597,1.0
34,698,0.1005,1.0
34,699,0.3022,1.0
34,700,0.7642,1.0
34,701,0.1351,1.0
34,703,0.2398,1.0
34,704,0.3493,1.0
34,705,0.1473,1.0
34,706,0.4818,1.0
34,707,0.0013,1.0
34,708,0.003,1.0
34,709,0.0013,1.0
34,711,0.0003,1.0
34,712,0.0013,1.0
35,672,0.0083,0.40863673662111033
35,673,0.0044,0.2042228447124351
35,687,0.0054,1.0
35,688,0.0002,1.0
35,690,0.1233,1.0
35,691,0.1483,1.0
35,692,0.4603,1.0
35,693,0.381,1.0
35,694,0.0012,1.0
35,695,0.1624,1.0
35,696,0.2453,1.0
35,697,0.0049,1.0
35,698,0.0013,1.0
35,700,0.0141,1.0
35,703,0.0117,1.0
35,704,0.213,1.0
35,705,0.4743,1.0
35,706,0.2443,1.0
35,707,0.1945,1.0
35,708,0.0032,1.0
35,709,0.0027,1.0
36,688,0.0039,1.0
36,689,0.0102,1.0
36,690,0.0257,1.0
36,691,0.5337,1.0
36,692,0.1958,1.0
36,695,0.1504,1.0
36,696,0.0004,1.0
36,698,0.0012,1.0
36,700,0.0076,1.0
36,703,0.1618,1.0
36,704,0.0013,1.0
36,705,0.1561,1.0
36,706,0.145,1.0
36,707,0.0587,1.0
36,708,0.0013,1.0
36,714,0.0001,1.0
36,715,0.0066,1.0
37,686,0.0015,1.0
37,687,0.0212,1.0
37,688,0.0807,1.0
37,691,0.1323,1.0
37,692,0.3194,1.0
37,693,0.0146,1.0
37,695,0.0106,1.0
37,696,0.0165,1.0
37,697,0.0021,1.0
37,698,0.0014,1.0
37,700,0.0287,1.0
37,703,0.0223,1.0
37,704,0.0006,1.0
37,705,0.4032,1.0
37,706,0.0599,1.0
37,723,0.0035,1.0
38,686,0.0003,0.9673611675048124
38,687,0.0382,1.0
38,688,0.1154,1.0
38,695,0.0018,1.0
38,696,0.0103,1.0
38,697,0.0021,1.0
38,700,0.0521,1.0
38,704,0.0007,1.0
38,705,0.0268,1.0
38,711,0.0011,1.0
38,724,0.0329,1.0
38,727,0.1969,1.0
38,728,0.0503,0.9193456811437486
39,686,0.278,0.6706512537336703
39,687,0.6437,1.0
39,688,0.2131,1.0
39,700,0.1562,1.0
39,705,0.0015,1.0
39,708,0.0035,1.0
39,711,0.0003,1.0
39,716,0.0043,1.0
39,719,0.0018,1.0
39,720,0.0029,1.0
39,723,0.0026,1.0
39,725,0.0042,1.0
39,726,0.0016,1.0
39,727,0.5608,1.0
39,728,0.7429,1.0
39,729,0.8313,1.0
39,730,0.7322,1.0
39,731,0.5454,1.0
39,732,0.2372,1.0
39,735,0.0028,0.9077728122421582
40,687,0.0152,1.0
40,705,0.0015,1.0
40,706,0.0025,1.0
40,707,0.0009,1.0
40,708,0.005,1.0
40,720,0.0075,1.0
40,723,0.0019,1.0
40,725,0.0069,1.0
40,726,0.0385,1.0
40,727,0.0023,1.0
40,728,0.2158,1.0
40,729,0.1299,1.0
40,730,0.0933,1.0
40,731,0.261,1.0
40,732,0.0558,1.0
40,736,0.0027,0.9994691809024983
41,687,0.356,0.9516338397517033
41,693,0.0499,1.0
41,694,0.0219,1.0
41,702,0.0036,1.0
41,716,0.0015,1.0
41,725,0.1153,1.0
41,726,0.069,1.0
41,727,0.0586,1.0
41,730,0.0852,1.0
41,736,0.0025,1.0
41,737,0.0054,1.0
42,687,0.1824,0.9143743849045126
42,691,0.0036,1.0
42,692,0.0351,1.0
42,693,0.0803,1.0
42,694,0.0009,1.0
42,703,0.0102,1.0
42,704,0.0032,1.0
42,711,0.0009,1.0
42,712,0.005,1.0
42,718,0.0013,1.0
42,725,0.0201,1.0
42,726,0.0003,1.0
42,727,0.0024,1.0
42,730,0.327,1.0
42,735,0.0433,1.0
42,736,0.0867,1.0
42,737,0.0005,1.0
42,743,0.0155,0.9990461769128748
42,744,0.0262,0.7917861408343686
43,680,0.0098,0.671680362363101
43,691,0.013,1.0
43,692,0.069,1.0
43,693,0.1014,1.0
43,707,0.0013,1.0
43,713,0.0298,1.0
43,714,0.0162,1.0
43,727,0.0014,1.0
43,729,0.004,1.0
43,730,0.0432,1.0
43,735,0.0156,1.0
43,736,0.1778,1.0
43,737,0.0009,1.0
43,738,0.338,1.0
43,739,0.1804,1.0
43,740,0.0025,0.9731469773747351
43,743,0.068,1.0
43,744,0.0786,1.0
43,745,0.0284,0.9981146333345142
43,746,0.0019,0.6650671294992789
44,679,0.0118,0.8868181981751487
44,683,0.0014,0.49407462310737077
44,684,0.0023,1.0
44,686,0.5277,1.0
44,687,0.8783,1.0
44,688,0.0165,1.0
44,691,0.014,1.0
44,692,0.2144,1.0
44,693,0.0056,1.0
44,694,0.0013,1.0
44,702,0.0013,1.0
44,709,0.0065,1.0
44,710,0.0026,1.0
44,712,0.014,1.0
44,713,0.2059,1.0
44,714,0.016,1.0
44,716,0.0251,1.0
44,717,0.0948,1.0
44,739,0.2726,1.0
44,740,0.0205,1.0
44,743,0.0105,1.0
44,744,0.0265,1.0
44,745,0.0529,1.0
44,746,0.0344,1.0
44,747,0.2359,0.9972116661523261
44,748,0.4387,0.8033794320599555
45,684,0.1164,1.0
45,685,0.2398,1.0
45,686,0.1839,1.0
45,687,0.9611,1.0
45,688,0.079,1.0
45,692,0.0024,1.0
45,706,0.0021,1.0
45,707,0.0054,1.0
45,709,0.001,1.0
45,711,0.0035,1.0
45,712,0.0247,1.0
45,713,0.1021,1.0
45,714,0.0784,1.0
45,715,0.0952,1.0
45,716,0.0505,1.0
45,717,0.5099,1.0
45,718,0.0709,1.0
45,720,0.0033,1.0
45,721,0.0033,1.0
45,726,0.0024,1.0
45,738,0.0043,1.0
45,739,0.179,1.0
45,741,0.0176,1.0
45,742,0.0018,1.0
45,743,0.0011,1.0
45,744,0.031,1.0
45,745,0.0142,1.0
45,746,0.0191,1.0
45,747,0.0728,1.0
45,748,0.1561,1.0
45,749,0.3784,1.0
45,750,0.0231,0.8772865886483285
46,684,0.3253,1.0
46,685,0.4796,1.0
46,686,0.2905,1.0
46,687,0.8586,1.0
46,688,0.1832,1.0
46,689,0.0024,1.0
46,704,0.0035,1.0
46,705,0.0115,1.0
46,706,0.2005,1.0
46,707,0.0066,1.0
46,709,0.0014,1.0
46,710,0.0023,1.0
46,711,0.0645,1.0
46,712,0.204,1.0
46,713,0.1563,1.0
46,714,0.1334,1.0
46,715,0.3469,1.0
46,716,0.2168,1.0
46,717,0.4215,1.0
46,718,0.2119,1.0
46,719,0.0177,1.0
46,720,0.0006,1.0
46,721,0.0158,1.0
46,722,0.0103,1.0
46,723,0.003,1.0
46,726,0.0051,1.0
46,733,0.0216,1.0
46,738,0.008,1.0
46,744,0.0225,1.0
46,746,0.1857,1.0
46,747,0.3298,1.0
46,748,0.3424,1.0
46,749,0.1984,1.0
46,750,0.0039,1.0
46,752,0.0103,0.7474872924619905
47,677,0.0005,1.0
47,680,0.0014,1.0
47,681,0.0033,1.0
47,683,0.0021,1.0
47,684,0.2295,1.0
47,685,0.0305,1.0
47,686,0.4678,1.0
47,687,0.6295,1.0
47,688,0.1181,1.0
47,706,0.0586,1.0
47,707,0.13,1.0
47,708,0.0077,1.0
47,711,0.0209,1.0
47,713,0.068,1.0
47,715,0.0187,1.0
47,716,0.0579,1.0
47,717,0.35,1.0
47,718,0.0332,1.0
47,719,0.0154,1.0
47,721,0.0013,1.0
47,733,0.002,1.0
47,746,0.0013,1.0
47,747,0.0557,1.0
47,748,0.1965,1.0
47,749,0.059,1.0
47,750,0.0126,1.0
47,753,0.0027,0.6543248959322866
48,677,0.0019,1.0
48,678,0.0014,1.0
48,680,0.0016,1.0
48,682,0.0074,1.0
48,683,0.1923,1.0
48,684,0.6777,1.0
48,685,0.6711,1.0
48,688,0.0025,1.0
48,689,0.0035,1.0
48,690,0.0105,1.0
48,695,0.0028,1.0
48,704,0.0087,1.0
48,712,0.0064,1.0
48,713,0.387,1.0
48,714,0.0046,1.0
48,715,0.0003,1.0
48,716,0.0269,1.0
48,717,0.557,1.0
48,718,0.0379,1.0
48,721,0.0035,1.0
48,722,0.0023,1.0
48,723,0.061,1.0
48,734,0.0017,1.0
48,743,0.0012,1.0
48,747,0.002,1.0
48,748,0.0585,1.0
48,749,0.0011,1.0
48,753,0.0088,1.0
49,678,0.0197,0.7358562442202911
49,679,0.0062,1.0
49,682,0.2356,1.0
49,683,0.9647,1.0
49,684,0.8005,1.0
49,685,0.5464,1.0
49,686,0.0917,1.0
49,687,0.0655,1.0
49,702,0.0047,1.0
49,703,0.0867,1.0
49,704,0.0637,1.0
49,708,0.2185,1.0
49,709,0.1379,1.0
49,711,0.0353,1.0
49,712,0.0321,1.0
49,713,0.0383,1.0
49,715,0.272,1.0
49,716,0.139,1.0
49,717,0.0155,1.0
49,718,0.0012,1.0
49,719,0.0013,1.0
49,723,0.1172,1.0
49,724,0.0016,1.0
49,725,0.0001,1.0
49,734,0.0239,1.0
49,735,0.0146,1.0
49,740,0.1212,1.0
49,741,0.0013,1.0
49,744,0.0179,1.0
49,745,0.3074,1.0
49,746,0.0112,1.0
50,679,0.0059,0.872953179966426
50,680,0.0038,1.0
50,682,0.009,1.0
50,683,0.8177,1.0
50,684,0.8495,1.0
50,685,0.1117,1.0
50,686,0.0146,1.0
50,687,0.0376,1.0
50,702,0.2246,1.0
50,703,0.7655,1.0
50,704,0.0308,1.0
50,707,0.0034,1.0
50,708,0.2382,1.0
50,709,0.2926,1.0
50,711,0.0757,1.0
50,712,0.1731,1.0
50,713,0.0319,1.0
50,715,0.4935,1.0
50,716,0.0362,1.0
50,717,0.0169,1.0
50,718,0.0349,1.0
