idx_x,idx_y,crop_ratio,overlap_ratio
558,26,0.0018,1.0
564,31,0.0014,1.0
564,32,0.0013,1.0
565,25,0.0043,1.0
565,34,0.0013,1.0
566,18,0.0012,1.0
566,20,0.0066,1.0
566,22,0.0308,1.0
566,23,0.0147,1.0
567,33,0.0017,1.0
567,34,0.0007,1.0
567,48,0.0015,0.767500758270868
568,35,0.0013,1.0
569,15,0.0079,1.0
570,15,0.0105,1.0
572,15,0.0523,1.0
573,14,0.0013,1.0
573,15,0.0077,1.0
573,20,0.0032,1.0
574,15,0.0097,1.0
574,24,0.0086,1.0
574,25,0.015,1.0
575,15,0.0048,1.0
575,16,0.0026,1.0
575,18,0.0014,1.0
575,19,0.0012,1.0
575,62,0.0014,1.0
576,15,0.0036,1.0
576,19,0.0003,1.0
576,22,0.0011,1.0
576,23,0.0002,1.0
576,68,0.0021,1.0
577,14,0.001,1.0
577,15,0.0498,1.0
577,21,0.0035,1.0
578,15,0.002,1.0
578,16,0.0015,1.0
578,61,0.0017,1.0
579,14,0.0019,1.0
579,17,0.002,1.0
579,18,0.0003,1.0
579,42,0.003,1.0
579,43,0.0042,1.0
579,70,0.0153,1.0
579,88,0.0028,0.9850011080335046
580,17,0.0051,1.0
580,18,0.049,1.0
580,66,0.0077,1.0
580,69,0.0066,1.0
580,84,0.0016,1.0
580,87,0.0014,1.0
581,19,0.0015,1.0
581,20,0.0017,1.0
581,69,0.0012,1.0
582,19,0.003,1.0
582,20,0.0005,1.0
583,19,0.0198,1.0
583,20,0.1499,1.0
583,84,0.0037,1.0
584,14,0.0024,1.0
584,20,0.1178,1.0
585,13,0.0021,1.0
585,14,0.002,1.0
585,15,0.0021,1.0
585,21,0.044,1.0
585,22,0.0129,1.0
585,23,0.0015,1.0
586,21,0.2122,1.0
586,22,0.0041,1.0
586,34,0.0019,1.0
587,21,0.0617,1.0
587,22,0.0004,1.0
587,25,0.0017,1.0
587,33,0.005,1.0
588,21,0.0068,1.0
588,22,0.0073,1.0
588,32,0.006,1.0
589,21,0.0479,1.0
589,22,0.0028,1.0
589,31,0.0015,1.0
589,32,0.0068,1.0
589,83,0.0112,1.0
589,85,0.0112,1.0
589,105,0.0086,1.0
589,106,0.0054,1.0
590,20,0.0017,1.0
590,21,0.0105,1.0
590,22,0.0044,1.0
590,28,0.0079,1.0
590,29,0.0146,1.0
590,30,0.0219,1.0
590,31,0.0672,1.0
590,44,0.0014,1.0
590,45,0.0018,1.0
591,18,0.01,1.0
591,19,0.0147,1.0
591,20,0.0374,1.0
591,21,0.0035,1.0
591,27,0.0359,1.0
591,28,0.0244,1.0
591,29,0.0038,1.0
591,31,0.0809,1.0
591,32,0.0117,1.0
591,43,0.0046,1.0
591,44,0.0042,1.0
591,45,0.0018,1.0
591,95,0.0003,1.0
591,96,0.0035,1.0
592,17,0.0079,1.0
592,18,0.0199,1.0
592,19,0.0029,1.0
592,27,0.0105,1.0
592,28,0.0033,1.0
592,29,0.007,1.0
592,30,0.0023,1.0
592,31,0.044,1.0
592,32,0.0249,1.0
592,33,0.1186,1.0
592,34,0.1372,1.0
592,36,0.0155,1.0
592,37,0.0098,1.0
592,44,0.0102,1.0
592,45,0.0024,1.0
592,95,0.0001,1.0
592,105,0.0002,1.0
592,106,0.0042,1.0
593,17,0.0093,1.0
593,18,0.0189,1.0
593,31,0.0004,1.0
593,32,0.0138,1.0
593,33,0.0203,1.0
593,34,0.0196,1.0
593,35,0.0006,1.0
593,36,0.0234,1.0
593,37,0.0102,1.0
593,38,0.0053,1.0
593,39,0.0181,1.0
593,42,0.0072,1.0
593,43,0.0081,1.0
593,44,0.0065,1.0
593,52,0.0013,1.0
593,140,0.0013,0.6943248417197065
