idx_x,idx_y,crop_ratio,overlap_ratio
402,995,0.8448,0.5326268716085418
402,996,0.7378,0.9999967610430615
402,997,0.6577,0.9458505719976252
403,994,0.2552,0.6060630144227483
403,995,0.402,1.0
403,996,0.5868,1.0
403,997,0.1951,0.6197952209505794
403,1003,0.2825,0.6547940386070145
404,976,0.1588,0.9682835213685235
404,977,0.0923,0.6975534631943977
404,993,0.1824,0.7556388118355533
404,994,0.5502,1.0
404,995,0.7193,1.0
404,996,0.487,1.0
404,997,0.23,0.9656341086547003
404,1002,0.6011,0.8726043447282452
404,1003,0.6726,1.0
404,1004,0.3623,0.6397346186883092
405,975,0.7297,0.9117459033022977
405,976,0.7452,1.0
405,977,0.1087,1.0
405,978,0.1848,0.8176806470231762
405,992,0.3269,0.9588049838835583
405,993,0.1798,1.0
405,994,0.5512,1.0
405,995,0.1321,1.0
405,996,0.6635,1.0
405,997,0.2293,1.0
405,998,0.0684,0.928381897287997
405,1001,0.6853,0.9703427290061288
405,1002,0.2621,1.0
405,1003,0.7201,1.0
405,1004,0.6841,0.9979866776883268
406,974,0.3886,0.833929168332759
406,975,0.2993,1.0
406,976,0.3298,1.0
406,977,0.3961,1.0
406,978,0.1386,1.0
406,979,0.5596,0.9062553750960444
406,982,0.0999,0.6250543741498383
406,983,0.2883,0.7471412850545414
406,984,0.252,0.9893358995950104
406,985,0.2661,0.9308772440711082
406,990,0.5074,0.7583732666093775
406,991,0.3928,1.0
406,992,0.3714,1.0
406,993,0.5798,1.0
406,994,0.0713,1.0
406,995,0.1228,1.0
406,996,0.7645,1.0
406,997,0.6746,1.0
406,998,0.2729,0.9720142385919368
406,999,0.2904,0.6279108634638089
406,1000,0.3769,1.0
406,1001,0.1869,1.0
406,1002,0.017,1.0
406,1003,0.1951,1.0
406,1004,0.6586,1.0
406,1005,0.2544,0.5700941816044022
407,973,0.0365,0.7320004370031415
407,974,0.0686,1.0
407,975,0.1195,1.0
407,976,0.0484,1.0
407,977,0.0797,1.0
407,978,0.2179,1.0
407,979,0.3266,1.0
407,980,0.8144,0.9714667628374499
407,981,0.4869,0.9851254252930788
407,982,0.0786,1.0
407,983,0.3987,1.0
407,984,0.2398,1.0
407,985,0.4309,1.0
407,986,0.5532,0.6014877041750587
407,989,0.5328,0.9596409441586262
407,990,0.1186,1.0
407,991,0.2812,1.0
407,992,0.399,1.0
407,993,0.3738,1.0
407,994,0.1817,1.0
407,995,0.0774,1.0
407,996,0.3885,1.0
407,997,0.4497,1.0
407,998,0.0793,1.0
407,999,0.3788,1.0
407,1000,0.0397,1.0
407,1002,0.0003,1.0
407,1003,0.4576,1.0
408,972,0.2979,0.608609479575981
408,973,0.5363,1.0
408,974,0.0626,1.0
408,975,0.2683,1.0
408,976,0.063,1.0
408,977,0.4961,1.0
408,978,0.5499,1.0
408,979,0.0971,1.0
408,980,0.4736,1.0
408,981,0.219,1.0
408,982,0.1611,1.0
408,983,0.6198,1.0
408,984,0.1162,1.0
408,985,0.198,1.0
408,986,0.0394,0.9910620862002166
408,987,0.3036,0.7994225135268667
408,988,0.4615,1.0
408,989,0.4092,1.0
408,990,0.4573,1.0
408,991,0.0377,1.0
408,992,0.0436,1.0
408,993,0.4795,1.0
408,994,0.0881,1.0
408,995,0.2235,1.0
408,996,0.4164,1.0
408,997,0.1353,1.0
408,998,0.1749,1.0
408,999,0.13,1.0
408,1000,0.3773,1.0
408,1001,0.4251,1.0
408,1002,0.0511,1.0
408,1003,0.1093,1.0
408,1004,0.5212,0.5540626537268981
409,972,0.2596,1.0
409,973,0.2934,1.0
409,974,0.0776,1.0
409,975,0.5649,1.0
409,976,0.6451,1.0
409,977,0.8321,1.0
409,978,0.2239,1.0
409,979,0.0883,1.0
409,980,0.0045,1.0
409,981,0.1112,1.0
409,982,0.1974,1.0
409,983,0.4573,1.0
409,984,0.3805,1.0
409,985,0.103,1.0
409,986,0.1587,1.0
409,987,0.155,1.0
409,988,0.4042,1.0
409,989,0.4227,1.0
409,990,0.3213,1.0
409,991,0.2003,1.0
409,992,0.2149,1.0
409,993,0.2425,1.0
409,994,0.2617,1.0
409,995,0.0123,1.0
409,996,0.4878,1.0
409,997,0.5035,1.0
409,998,0.2324,1.0
409,999,0.3874,1.0
409,1000,0.1146,1.0
409,1001,0.1307,1.0
409,1003,0.1092,1.0
409,1004,0.396,0.997234446249363
409,1005,0.1421,0.9369581688571467
409,1006,0.177,0.8641286669811415
410,971,0.0906,0.9964834784582505
410,972,0.174,1.0
410,973,0.0996,1.0
410,974,0.5465,1.0
410,975,0.3986,1.0
410,976,0.4603,1.0
410,977,0.0535,1.0
410,978,0.3022,1.0
410,979,0.3047,1.0
410,980,0.0521,1.0
410,981,0.27,1.0
410,982,0.3498,1.0
410,983,0.3381,1.0
410,984,0.5433,1.0
410,985,0.4348,1.0
410,986,0.2714,1.0
410,987,0.0277,1.0
410,988,0.1873,1.0
410,989,0.3915,1.0
410,990,0.0711,1.0
410,991,0.3139,1.0
410,992,0.5765,1.0
410,993,0.3564,1.0
410,994,0.2642,1.0
410,995,0.0609,1.0
410,996,0.1201,1.0
410,997,0.2331,1.0
410,998,0.101,1.0
410,999,0.0682,1.0
410,1000,0.0461,1.0
410,1001,0.0415,1.0
410,1003,0.0836,1.0
410,1004,0.5171,1.0
410,1005,0.1861,1.0
410,1006,0.0184,1.0
411,970,0.0307,0.9721715085113924
411,971,0.099,1.0
411,972,0.1373,1.0
411,973,0.035,1.0
411,974,0.341,1.0
411,975,0.3281,1.0
411,976,0.2456,1.0
411,977,0.11,1.0
411,978,0.0813,1.0
411,979,0.2318,1.0
411,980,0.2236,1.0
411,981,0.5128,1.0
411,982,0.9143,1.0
411,983,0.447,1.0
411,984,0.2524,1.0
411,985,0.307,1.0
411,986,0.0093,1.0
411,987,0.5238,1.0
411,988,0.4324,1.0
411,989,0.3344,1.0
411,990,0.5453,1.0
411,991,0.426,1.0
411,992,0.262,1.0
411,993,0.2728,1.0
411,994,0.1337,1.0
411,995,0.1052,1.0
411,996,0.3177,1.0
411,997,0.3107,1.0
411,998,0.0087,1.0
411,999,0.2224,1.0
411,1000,0.4317,1.0
411,1001,0.1348,1.0
411,1003,0.0193,1.0
411,1004,0.4132,1.0
411,1005,0.5731,1.0
411,1006,0.4373,1.0
411,1007,0.0244,0.9465100227160254
411,1049,0.9603,0.9677647107738109
411,1050,0.4796,0.5008111634124148
412,969,0.2189,0.9281074072641484
412,970,0.122,1.0
412,971,0.0822,1.0
412,972,0.2639,1.0
412,973,0.0949,1.0
412,974,0.4794,1.0
412,975,0.4118,1.0
412,976,0.3669,1.0
412,977,0.0902,1.0
412,978,0.0615,1.0
412,979,0.0406,1.0
412,980,0.1334,1.0
412,981,0.2061,1.0
412,982,0.4462,1.0
412,983,0.1954,1.0
412,984,0.0742,1.0
412,985,0.2435,1.0
412,986,0.1225,1.0
412,987,0.5593,1.0
412,988,0.5666,1.0
412,989,0.1381,1.0
412,990,0.2318,1.0
412,991,0.3675,1.0
412,992,0.0738,1.0
412,993,0.1149,1.0
412,994,0.5251,1.0
412,995,0.1079,1.0
412,996,0.0019,1.0
412,997,0.1377,1.0
412,998,0.5218,1.0
412,999,0.3497,1.0
412,1000,0.6727,1.0
412,1001,0.1193,1.0
412,1002,0.0832,1.0
412,1003,0.0247,1.0
412,1004,0.1141,1.0
412,1005,0.8041,1.0
412,1006,0.5183,0.9991575066238447
412,1047,0.7209,0.705010733020599
412,1048,0.7461,1.0
412,1049,0.6145,1.0
412,1050,0.7652,0.6694284103840479
413,964,0.0136,0.9392585372935557
413,968,0.0062,0.8738174732338729
413,969,0.0455,1.0
413,970,0.2999,1.0
413,971,0.2006,1.0
413,972,0.0523,1.0
413,973,0.4817,1.0
413,974,0.3707,1.0
413,975,0.011,1.0
413,976,0.102,1.0
413,977,0.2291,1.0
413,978,0.6993,1.0
413,979,0.2264,1.0
413,980,0.3301,1.0
413,981,0.4398,1.0
413,982,0.0301,1.0
413,983,0.3017,1.0
413,984,0.2232,1.0
413,985,0.4893,1.0
413,986,0.3707,1.0
413,987,0.5477,1.0
413,988,0.6385,1.0
413,989,0.2061,1.0
413,990,0.1836,1.0
413,991,0.4471,1.0
413,992,0.1731,1.0
413,993,0.4823,1.0
413,994,0.1927,1.0
413,995,0.1175,1.0
413,996,0.0697,1.0
413,997,0.1259,1.0
413,998,0.2287,1.0
413,999,0.1416,1.0
413,1000,0.2933,1.0
413,1001,0.1328,1.0
413,1002,0.2116,1.0
413,1003,0.1181,1.0
413,1004,0.0094,1.0
413,1005,0.2171,1.0
413,1006,0.014,0.9968585714059004
413,1008,0.2041,0.9844902527140931
413,1046,0.9028,0.9131441336512137
413,1047,0.5613,1.0
413,1048,0.2039,1.0
413,1049,0.2909,1.0
413,1050,0.8479,0.767966720532982
414,946,0.1915,0.7532679865639959
