idx_x,idx_y,crop_ratio,overlap_ratio
742,3149,0.1216,0.8618178019397887
742,3150,0.0256,0.972199020474645
743,3152,0.0688,0.8271743827231919
743,3153,0.2144,0.7238828936216163
743,3154,0.1616,0.8314631190178916
743,3155,0.2336,0.7604768212623895
743,3156,0.2928,0.6894905235068872
743,3157,0.2144,0.6752861885082714
744,3148,0.0208,0.7785339831353362
745,3158,0.072,1.0
746,3147,0.0784,0.8179750659757284
747,3145,0.376,0.5980372949056327
747,3146,0.0224,0.9729803852166717
748,3140,0.2752,0.5762988580204547
748,3141,0.0752,0.8772540929634282
748,3149,0.0032,1.0
748,3150,0.5248,1.0
748,3151,0.064,1.0
749,3149,0.0208,1.0
749,3150,0.9888,1.0
749,3151,0.8592,1.0
749,3152,0.1488,1.0
750,3143,0.1024,1.0
750,3144,0.0512,1.0
750,3145,0.4704,1.0
750,3146,0.3488,1.0
750,3149,0.0688,1.0
750,3150,0.9824,1.0
750,3151,0.8576,1.0
750,3152,0.2048,1.0
751,3143,0.608,1.0
751,3144,0.8496,1.0
751,3145,0.4592,1.0
751,3146,0.2032,1.0
751,3149,0.112,1.0
751,3150,0.9376,1.0
751,3151,0.9552,1.0
751,3152,0.1152,1.0
752,3143,0.192,1.0
752,3144,0.296,1.0
752,3145,0.072,1.0
752,3149,0.168,1.0
752,3150,0.9952,1.0
752,3151,0.8672,1.0
752,3152,0.0688,1.0
753,3146,0.024,1.0
753,3147,0.0592,1.0
753,3148,0.008,1.0
753,3149,0.0032,1.0
753,3150,0.0368,1.0
753,3151,0.0672,1.0
753,3152,0.0048,1.0
754,3137,0.0016,1.0
754,3138,0.0096,1.0
754,3144,0.0304,1.0
754,3146,0.1984,1.0
754,3147,0.232,1.0
754,3148,0.0656,1.0
754,3149,0.0496,1.0
755,3133,0.0368,1.0
755,3137,0.2016,1.0
755,3138,0.1088,1.0
755,3143,0.0768,1.0
755,3144,0.2288,1.0
755,3146,0.8336,1.0
755,3147,1.0,1.0
755,3148,0.0592,1.0
755,3159,0.0544,1.0
755,3160,0.3376,1.0
755,3161,0.3328,1.0
756,3132,0.4864,0.9170534528076494
756,3133,0.1984,1.0
756,3135,0.0064,1.0
756,3143,0.176,1.0
756,3144,0.4544,1.0
756,3146,0.3888,1.0
756,3147,0.5488,1.0
756,3159,0.2592,1.0
756,3160,1.0,1.0
756,3161,0.8656,1.0
756,3162,0.0896,1.0
757,3132,0.1728,1.0
757,3133,0.336,1.0
757,3134,0.128,1.0
757,3135,0.6752,1.0
757,3136,0.008,1.0
757,3139,0.032,1.0
757,3159,0.0432,1.0
757,3160,0.9776,1.0
757,3161,1.0,1.0
757,3162,0.9136,1.0
757,3163,0.0384,1.0
757,3165,0.0048,0.5787812253814191
758,3129,0.1888,0.5738983711525798
758,3130,0.4272,0.9940354946347986
758,3132,0.1744,1.0
758,3133,0.5296,1.0
758,3134,0.6352,1.0
758,3136,0.2256,1.0
758,3137,0.1824,1.0
758,3138,0.1392,1.0
758,3139,0.0528,1.0
758,3145,0.2064,1.0
758,3146,0.296,1.0
758,3147,0.096,1.0
758,3149,0.0912,1.0
758,3150,0.016,1.0
758,3155,0.4528,1.0
758,3156,0.3232,1.0
758,3160,0.7888,1.0
758,3161,1.0,1.0
758,3162,0.9104,1.0
758,3163,0.0032,1.0
759,3129,0.0752,1.0
759,3130,0.2224,1.0
759,3134,0.0576,1.0
759,3138,0.4144,1.0
759,3139,0.128,1.0
759,3145,0.0016,1.0
759,3146,0.3472,1.0
759,3147,0.0864,1.0
759,3148,0.304,1.0
759,3149,0.0384,1.0
759,3155,0.1632,1.0
759,3156,0.1616,1.0
