idx_x,idx_y,crop_ratio,overlap_ratio
3316,3767,0.0144,1.0
3317,3775,0.0512,1.0
3318,3776,0.0784,0.6043869495573758
3320,3762,0.0416,0.7136059802141407
3321,3762,0.0384,0.9400597262613269
3330,3780,0.0304,1.0
3330,3781,0.024,1.0
3332,3758,0.04,0.8048184946913185
3332,3759,0.3168,0.74899467444195
3332,3761,0.0448,0.7260623142220303
3332,3770,0.0448,0.6076355029240993
3333,3757,0.0224,0.8561549877318178
3333,3758,0.0416,1.0
3333,3759,0.1568,0.6392641888339292
3333,3769,0.008,1.0
3333,3770,0.0128,0.6586745296715364
3333,3772,0.0272,1.0
3334,3756,0.0928,0.5540789952611651
3334,3769,0.0032,1.0
3336,3762,0.0992,1.0
3339,3746,0.0528,1.0
3339,3750,0.0288,1.0
3339,3784,0.0256,1.0
3340,3784,0.128,0.5197584639890119
3340,3785,0.0368,0.9837463667417078
3341,3761,0.032,1.0
3341,3787,0.0096,0.96576052816734
3344,3756,0.0304,1.0
3345,3757,0.0256,1.0
3346,3744,0.0128,0.7246442108927786
3346,3763,0.0992,1.0
3346,3764,0.0048,1.0
3347,3763,0.0256,1.0
3347,3764,0.0224,1.0
3348,3745,0.0096,1.0
3348,3762,0.0336,1.0
3348,3764,0.048,1.0
3349,3745,0.088,1.0
3349,3751,0.0624,0.630296515642646
3349,3753,0.096,1.0
3349,3763,0.024,0.9043827234565389
3350,3759,0.0336,0.6397958146650518
3350,3761,0.024,1.0
3351,3753,0.0288,1.0
3351,3758,0.2528,0.5370536917042448
3353,3755,0.1008,0.8620049438560382
3360,3801,0.0608,0.576036795506923
3360,3802,0.0192,0.4228237557002783
3361,3808,0.144,0.6966562866217706
