idx_x,idx_y,crop_ratio,overlap_ratio
22,1336,0.0456,0.8820493981235682
22,1337,0.1028,0.5607838125349954
23,1337,0.0456,1.0
23,1339,0.072,0.9278305185026303
23,1340,0.412,0.7816281174868345
23,1341,0.2136,0.6588342802946068
24,1338,0.0472,1.0
24,1339,0.0372,1.0
24,1340,0.2204,1.0
24,1341,0.1768,1.0
25,1319,0.2588,0.6031755417450331
25,1320,0.0364,0.7321217451486737
25,1324,0.0056,1.0
25,1325,0.0104,1.0
25,1333,0.0072,1.0
25,1338,0.0104,1.0
25,1339,0.0064,1.0
25,1340,0.034,1.0
25,1341,0.0324,1.0
26,1314,0.0112,0.9564079482815667
26,1315,0.0388,1.0
26,1316,0.036,1.0
26,1318,0.3128,1.0
26,1319,0.4872,1.0
26,1320,0.302,1.0
26,1321,0.0208,1.0
26,1341,0.0348,0.9886774931082363
27,1309,0.0032,0.5126456225590021
27,1310,0.068,0.9893287472651281
27,1311,0.0836,1.0
27,1312,0.0008,1.0
27,1313,0.0116,1.0
27,1315,0.0252,1.0
27,1316,0.0604,1.0
27,1317,0.0496,1.0
27,1318,0.0744,1.0
27,1319,0.3256,1.0
27,1320,0.1804,1.0
27,1321,0.0328,1.0
28,1309,0.036,0.997775746795337
28,1310,0.0436,1.0
28,1311,0.0804,1.0
28,1313,0.02,1.0
28,1315,0.0268,1.0
28,1316,0.2352,1.0
28,1317,0.172,1.0
28,1318,0.0464,1.0
28,1319,0.0308,1.0
28,1320,0.0348,1.0
29,1309,0.0484,1.0
29,1311,0.1712,1.0
29,1312,0.0512,1.0
29,1313,0.0256,1.0
29,1316,0.0144,1.0
29,1317,0.0036,1.0
29,1321,0.006,1.0
29,1322,0.016,1.0
30,1309,0.0344,1.0
30,1312,0.0052,1.0
30,1313,0.012,1.0
30,1330,0.0168,1.0
30,1331,0.0544,1.0
31,1312,0.0044,1.0
31,1313,0.1776,1.0
31,1314,0.0504,1.0
31,1322,0.0308,1.0
31,1323,0.0104,1.0
31,1324,0.006,1.0
31,1325,0.1156,1.0
31,1326,0.1644,1.0
31,1327,0.014,1.0
32,1313,0.04,1.0
32,1314,0.0276,1.0
32,1315,0.032,1.0
32,1316,0.0112,1.0
32,1318,0.008,1.0
32,1321,0.0272,1.0
32,1322,0.0492,1.0
32,1323,0.204,1.0
32,1324,0.1264,1.0
32,1325,0.1668,1.0
32,1326,0.43,1.0
32,1327,0.038,1.0
32,1328,0.0036,1.0
32,1334,0.004,1.0
33,1312,0.0152,1.0
33,1313,0.018,1.0
33,1314,0.0084,1.0
33,1315,0.0772,1.0
33,1316,0.3892,1.0
33,1318,0.0084,1.0
33,1319,0.0936,1.0
33,1320,0.0356,1.0
33,1321,0.1392,1.0
33,1323,0.0148,1.0
33,1324,0.0088,1.0
33,1334,0.0116,1.0
34,1313,0.0076,1.0
34,1318,0.0224,1.0
34,1319,0.018,1.0
34,1320,0.014,1.0
34,1321,0.006,1.0
34,1331,0.0168,1.0
34,1332,0.0752,1.0
34,1334,0.0024,1.0
34,1341,0.01,0.7002777495382889
35,1340,0.0032,0.9908287997143878
36,1330,0.0152,1.0
36,1340,0.0148,1.0
37,1325,0.0112,1.0
37,1329,0.008,1.0
37,1330,0.0132,1.0
37,1335,0.0056,1.0
37,1340,0.0144,1.0
38,1315,0.0108,1.0
38,1328,0.0004,1.0
38,1329,0.0076,1.0
38,1330,0.0108,1.0
38,1336,0.0116,1.0
39,1302,0.0112,0.7871997601036195
39,1303,0.0004,1.0
39,1315,0.0848,1.0
39,1316,0.0396,1.0
39,1319,0.0232,1.0
39,1320,0.0812,1.0
39,1321,0.0164,1.0
39,1327,0.0068,1.0
39,1328,0.012,1.0
39,1334,0.0812,1.0
39,1336,0.0076,1.0
40,1302,0.0048,1.0
40,1304,0.0156,1.0
40,1315,0.4188,1.0
40,1316,0.0084,1.0
40,1319,0.1772,1.0
40,1320,0.098,1.0
40,1321,0.0104,1.0
40,1322,0.1068,1.0
40,1323,0.0292,1.0
40,1324,0.0044,1.0
40,1327,0.0068,1.0
40,1328,0.006,1.0
40,1335,0.0128,1.0
40,1336,0.0208,1.0
40,1341,0.0104,0.991747557043477
41,1302,0.0156,1.0
41,1304,0.01,1.0
41,1315,0.0292,1.0
41,1316,0.0016,1.0
41,1319,0.2252,1.0
41,1320,0.4208,1.0
41,1321,0.0344,1.0
41,1322,0.0224,1.0
41,1325,0.0228,1.0
41,1329,0.0064,1.0
41,1335,0.0052,1.0
41,1336,0.0396,1.0
42,1302,0.0656,1.0
42,1303,0.012,1.0
42,1304,0.0072,1.0
42,1316,0.0632,1.0
42,1317,0.0196,1.0
42,1319,0.0092,1.0
42,1320,0.0032,1.0
42,1322,0.0684,1.0
42,1323,0.0252,1.0
42,1324,0.2756,1.0
42,1325,0.03,1.0
42,1337,0.0056,1.0
43,1316,0.0116,1.0
