idx_x,idx_y,crop_ratio,overlap_ratio
946,292,0.0036,0.731200348349037
946,296,0.1072,0.674784342838122
947,291,0.0004,0.3832670952888525
947,292,0.012,0.672291024826321
948,298,0.042,0.6632774754426339
948,299,0.0128,0.4138438993589648
949,306,0.052,0.7557973702022454
949,307,0.0936,0.6442101541203485
950,305,0.4332,0.8747856150442738
950,306,0.0524,1.0
950,307,0.2452,0.9812687524282826
950,308,0.238,0.511136220806979
951,304,0.394,0.972570767387267
951,305,0.326,1.0
951,306,0.308,1.0
951,307,0.396,1.0
951,308,0.7464,1.0
951,309,0.414,0.8355842834626379
952,299,0.168,0.7235857288233039
952,301,0.0192,0.575369510373021
952,302,0.0188,0.6268779244535426
952,303,0.0488,0.839894031869306
952,304,0.1104,1.0
952,305,0.2784,1.0
952,306,0.0448,1.0
952,307,0.2076,1.0
952,308,0.7292,1.0
952,309,0.194,1.0
953,288,0.1624,0.8709860497342513
953,290,0.0052,1.0
953,300,0.0004,0.9550461854600998
953,304,0.0008,1.0
953,305,0.16,1.0
953,306,0.0388,1.0
953,308,0.3224,1.0
953,309,0.3272,1.0
953,310,0.116,1.0
953,311,0.0488,1.0
953,320,0.108,0.9082455656876957
953,321,0.1688,0.5466952126932791
954,290,0.0012,1.0
954,304,0.094,1.0
954,305,0.2728,1.0
954,306,0.018,1.0
954,307,0.0104,1.0
954,308,0.1208,1.0
954,309,0.09,1.0
954,310,0.2472,1.0
954,311,0.4176,1.0
954,312,0.0048,1.0
954,320,0.3452,1.0
954,321,0.5424,1.0
954,322,0.0316,1.0
954,323,0.1924,0.9567123585224716
954,324,0.018,1.0
954,325,0.0056,0.9984836844643973
955,289,0.1012,0.9093750507255569
955,305,0.08,1.0
955,308,0.3816,1.0
955,309,0.056,1.0
955,310,0.3364,1.0
955,311,0.784,1.0
955,312,0.0112,1.0
955,313,0.0708,1.0
955,314,0.0716,1.0
955,320,0.02,1.0
955,321,0.0132,1.0
955,324,0.1828,1.0
955,325,0.046,1.0
956,289,0.3212,0.515157430645933
956,307,0.0648,1.0
956,308,0.1332,1.0
956,309,0.128,1.0
956,310,0.0152,1.0
956,311,0.7248,1.0
956,312,0.5088,1.0
956,313,0.0652,1.0
956,314,0.0256,1.0
956,324,0.0308,1.0
956,325,0.0948,1.0
956,326,0.0036,1.0
956,329,0.0096,1.0
956,330,0.0084,0.9946065097201644
957,307,0.128,1.0
957,308,0.3168,1.0
957,310,0.0208,1.0
957,311,0.6448,1.0
957,312,0.4912,1.0
957,313,0.0228,1.0
957,314,0.004,1.0
957,326,0.0112,1.0
957,329,0.3344,1.0
957,330,0.3956,1.0
957,331,0.0824,1.0
958,290,0.0104,0.7771813214730956
958,291,0.002,1.0
958,307,0.3064,1.0
958,308,0.074,1.0
958,309,0.3684,1.0
958,310,0.5376,1.0
958,311,0.3216,1.0
958,312,0.106,1.0
958,328,0.0212,1.0
958,329,0.1648,1.0
958,330,0.198,1.0
958,331,0.0008,1.0
959,288,0.0452,0.4841935033249981
959,289,0.0312,0.6437772774374788
959,290,0.1096,1.0
959,291,0.054,1.0
959,292,0.0008,1.0
959,307,0.0548,1.0
959,308,0.0148,1.0
959,309,0.5516,1.0
959,310,0.6028,1.0
959,311,0.0012,1.0
959,312,0.1044,1.0
959,313,0.0184,1.0
959,327,0.0176,1.0
959,328,0.0896,1.0
959,329,0.0236,1.0
959,330,0.0472,1.0
960,287,0.0636,1.0
960,288,0.0332,1.0
960,289,0.0544,1.0
960,290,0.0204,1.0
960,291,0.0212,1.0
960,309,0.5096,1.0
960,310,0.2984,1.0
960,311,0.0092,1.0
960,312,0.0192,1.0
960,328,0.128,1.0
960,329,0.046,1.0
960,330,0.2424,1.0
960,331,0.0648,1.0
960,332,0.1448,1.0
960,333,0.0016,1.0
961,289,0.1532,1.0
961,291,0.078,1.0
961,292,0.0096,1.0
961,293,0.0192,1.0
961,294,0.03,1.0
961,297,0.044,1.0
961,298,0.1896,1.0
961,299,0.0872,1.0
961,309,0.7176,1.0
961,310,0.2396,1.0
961,311,0.4232,1.0
961,326,0.1004,1.0
961,327,0.9192,1.0
961,328,0.946,1.0
961,329,0.5308,1.0
961,330,0.0892,1.0
961,331,0.1988,1.0
961,332,0.124,1.0
961,333,0.0052,1.0
962,289,0.2332,1.0
962,290,0.4492,1.0
962,291,0.1364,1.0
962,293,0.0196,1.0
962,294,0.054,1.0
962,295,0.0396,1.0
962,296,0.086,1.0
962,297,0.0204,1.0
962,298,0.0404,1.0
962,299,0.0836,1.0
962,302,0.0336,1.0
962,303,0.0036,1.0
962,304,0.0936,1.0
962,305,0.3948,1.0
962,306,0.3116,1.0
962,309,0.1424,1.0
962,310,0.078,1.0
962,311,0.2908,1.0
962,326,0.0012,1.0
962,327,0.1468,1.0
962,328,0.41,1.0
962,329,0.302,1.0
962,330,0.0052,1.0
963,290,0.0376,1.0
963,291,0.0044,1.0
963,293,0.0108,1.0
963,296,0.1992,1.0
963,297,0.5908,1.0
963,298,0.4668,1.0
963,299,0.1004,1.0
963,300,0.1212,1.0
963,301,0.1548,1.0
963,302,0.2568,1.0
963,303,0.2184,1.0
963,304,0.1688,1.0
963,305,0.5356,1.0
963,306,0.9848,1.0
963,307,0.1464,1.0
963,311,0.0608,1.0
963,328,0.0104,1.0
963,329,0.2368,1.0
963,330,0.0168,1.0
963,331,0.0412,1.0
963,332,0.0072,1.0
964,286,0.0084,0.9962276643371634
964,288,0.002,1.0
964,289,0.1172,1.0
964,290,0.1888,1.0
964,291,0.0244,1.0
964,293,0.0208,1.0
964,296,0.294,1.0
964,297,0.9652,1.0
964,298,0.4196,1.0
964,299,0.4584,1.0
964,300,0.0836,1.0
964,301,0.1988,1.0
964,302,0.1512,1.0
964,303,0.1612,1.0
964,304,0.062,1.0
964,305,0.014,1.0
964,306,0.094,1.0
964,307,0.0228,1.0
964,310,0.1032,1.0
964,311,0.008,1.0
964,327,0.012,1.0
964,328,0.0012,1.0
964,329,0.1848,1.0
964,330,0.0068,1.0
964,331,0.0052,1.0
964,332,0.4252,1.0
964,333,0.4552,1.0
964,334,0.0688,1.0
965,286,0.0728,0.5595288571188705
965,289,0.034,1.0
965,290,0.1908,1.0
965,291,0.0576,1.0
965,295,0.0056,1.0
965,296,0.018,1.0
965,297,0.072,1.0
965,298,0.0948,1.0
965,299,0.1156,1.0
965,300,0.1464,1.0
965,301,0.7612,1.0
965,302,0.1132,1.0
965,303,0.2172,1.0
965,304,0.0188,1.0
965,305,0.0004,1.0
965,306,0.0236,1.0
965,307,0.0212,1.0
965,310,0.3316,1.0
965,311,0.0444,1.0
965,312,0.2536,1.0
965,313,0.0012,1.0
965,329,0.058,1.0
965,330,0.0076,1.0
965,332,0.0848,1.0
965,333,0.074,1.0
966,288,0.1524,1.0
966,289,0.254,1.0
966,290,0.0636,1.0
966,291,0.0184,1.0
966,294,0.0036,1.0
966,300,0.166,1.0
966,301,0.9612,1.0
966,302,0.3948,1.0
966,303,0.2124,1.0
966,304,0.1804,1.0
966,305,0.354,1.0
966,306,0.0948,1.0
966,307,0.0736,1.0
966,308,0.008,1.0
966,310,0.01,1.0
966,311,0.246,1.0
966,312,0.9256,1.0
966,313,0.3404,1.0
966,328,0.032,1.0
966,329,0.1544,1.0
966,330,0.016,1.0
966,331,0.018,1.0
966,332,0.0312,1.0
967,290,0.2768,1.0
967,291,0.0764,1.0
967,292,0.1068,1.0
967,293,0.0844,1.0
967,294,0.0116,1.0
967,295,0.0012,1.0
967,300,0.4292,1.0
967,301,0.478,1.0
967,302,0.0288,1.0
967,303,0.4364,1.0
967,304,0.658,1.0
967,305,0.8168,1.0
967,306,0.9576,1.0
967,307,0.512,1.0
967,311,0.2612,1.0
967,312,0.588,1.0
967,313,0.6532,1.0
967,314,0.1068,1.0
967,328,0.154,1.0
967,329,0.6944,1.0
967,330,0.0808,1.0
967,331,0.4108,1.0
967,332,0.1924,1.0
967,339,0.0056,0.7308308623272577
968,290,0.0332,1.0
968,291,0.0652,1.0
968,292,0.042,1.0
968,293,0.2192,1.0
968,295,0.0344,1.0
968,296,0.1,1.0
968,297,0.0084,1.0
968,300,0.0016,1.0
968,305,0.0004,1.0
968,306,0.4152,1.0
968,307,0.8096,1.0
968,308,0.2444,1.0
968,312,0.0052,1.0
968,313,0.0772,1.0
968,323,0.0216,1.0
968,331,0.032,1.0
969,296,0.0288,1.0
969,297,0.0504,1.0
969,299,0.0724,1.0
969,300,0.3396,1.0
969,301,0.0668,1.0
969,308,0.0036,1.0
969,313,0.1272,1.0
969,314,0.2752,1.0
969,315,0.012,1.0
969,322,0.03,1.0
969,323,0.1656,1.0
970,292,0.0704,1.0
970,293,0.0496,1.0
970,294,0.0092,1.0
970,295,0.2452,1.0
970,296,0.052,1.0
970,298,0.0144,1.0
970,299,0.6512,1.0
970,300,0.2432,1.0
970,307,0.0248,1.0
970,309,0.0008,1.0
970,311,0.1656,1.0
970,312,0.0132,1.0
970,313,0.4928,1.0
970,314,0.2812,1.0
970,315,0.0488,1.0
970,316,0.046,1.0
970,317,0.0208,1.0
970,318,0.0148,1.0
970,320,0.0104,1.0
970,322,0.1296,1.0
970,323,0.0736,1.0
970,339,0.0092,1.0
970,340,0.0268,1.0
971,290,0.0048,1.0
971,292,0.1184,1.0
971,293,0.04,1.0
971,294,0.2132,1.0
971,295,0.2492,1.0
971,296,0.0932,1.0
971,297,0.2056,1.0
971,298,0.1956,1.0
971,299,0.0196,1.0
971,305,0.0036,1.0
971,306,0.1844,1.0
971,307,0.2796,1.0
971,308,0.1284,1.0
971,309,0.3968,1.0
971,311,0.0712,1.0
971,312,0.068,1.0
971,313,0.3616,1.0
971,314,0.7696,1.0
971,315,0.03,1.0
971,316,0.0508,1.0
971,317,0.012,1.0
971,319,0.0692,1.0
971,320,0.2624,1.0
971,321,0.0916,1.0
971,322,0.266,1.0
971,323,0.174,1.0
971,324,0.4804,1.0
971,325,0.006,1.0
971,340,0.0256,1.0
972,288,0.0308,0.9757514390885613
972,291,0.2104,1.0
972,292,0.1608,1.0
972,293,0.0432,1.0
972,294,0.026,1.0
972,295,0.6144,1.0
972,296,0.9148,1.0
972,297,0.3764,1.0
972,305,0.1556,1.0
972,306,0.0708,1.0
972,307,0.0692,1.0
972,308,0.0884,1.0
972,309,0.0348,1.0
972,310,0.0132,1.0
972,311,0.0664,1.0
972,312,0.0804,1.0
972,313,0.012,1.0
972,314,0.6692,1.0
972,315,0.1228,1.0
972,316,0.0652,1.0
972,317,0.0616,1.0
972,318,0.384,1.0
972,319,0.2004,1.0
972,320,0.3976,1.0
972,321,0.4268,1.0
972,322,0.2252,1.0
