idx_x,idx_y,crop_ratio,overlap_ratio
226,2010,0.3124,0.9755182523301094
226,2011,0.9948,1.0
227,2010,1.0,1.0
227,2011,1.0,1.0
228,2009,0.5752,0.9875259089355316
228,2010,0.6524,1.0
228,2011,0.5408,1.0
229,2008,0.5732,0.9892057664258632
229,2010,0.8,1.0
229,2011,0.6096,1.0
229,2012,0.006,0.6330788326799489
230,2007,0.6596,0.9965626505460126
230,2008,0.0112,1.0
230,2009,0.0528,1.0
230,2010,0.9716,1.0
230,2011,1.0,1.0
230,2012,0.8592,0.9490670083539882
231,2006,0.2792,0.9900762583436604
231,2007,0.014,1.0
231,2008,0.0152,1.0
231,2009,0.4968,1.0
231,2010,0.8384,1.0
231,2011,1.0,1.0
231,2012,0.6892,0.8238934919295954
232,2005,0.1676,0.6474340836458988
232,2008,0.626,1.0
232,2009,0.9324,1.0
232,2010,0.7548,0.9950715862337437
233,2005,0.9284,0.9518523326938264
233,2006,0.1336,1.0
233,2007,0.5496,1.0
233,2008,0.252,1.0
233,2009,0.2636,1.0
233,2010,0.8772,0.9999476773058104
234,2004,0.6576,0.6819988009740857
234,2005,0.9852,1.0
234,2006,0.0876,1.0
234,2007,0.5972,1.0
234,2008,0.6684,1.0
234,2009,0.1864,1.0
234,2010,0.1512,1.0
235,2003,0.4084,0.9009407609517424
235,2004,0.8556,1.0
235,2005,0.2332,1.0
235,2007,0.0352,1.0
235,2008,0.8296,1.0
235,2009,0.9224,1.0
235,2010,0.496,1.0
235,2011,0.0168,0.9918069267086073
236,2001,0.0056,0.7896602249800131
236,2003,0.2772,1.0
236,2004,0.1292,1.0
236,2008,0.2004,1.0
236,2009,0.7244,1.0
236,2010,0.1504,1.0
237,1995,0.3524,0.8215833719438329
237,1996,0.3572,0.9410231428419648
237,1997,0.5484,0.9855893502136005
237,1998,0.9984,1.0
237,1999,0.486,1.0
237,2001,0.058,1.0
237,2002,0.6136,1.0
237,2003,0.9928,1.0
237,2004,0.2436,1.0
237,2005,0.022,1.0
237,2009,0.0272,1.0
238,1993,0.9064,0.9346959095188242
238,1994,0.258,1.0
238,1995,0.0704,1.0
238,1996,0.0004,1.0
238,1997,0.0188,1.0
238,1998,0.362,1.0
238,1999,0.264,1.0
238,2000,0.0512,1.0
238,2001,0.3424,1.0
238,2002,0.9472,1.0
238,2003,0.5732,1.0
238,2004,0.5764,1.0
238,2005,0.3848,1.0
238,2007,0.0176,1.0
238,2008,0.0072,1.0
238,2009,0.0408,1.0
238,2010,0.0356,1.0
238,2011,0.0192,1.0
238,2012,0.2412,1.0
239,1992,0.8528,0.9257726628689554
239,1993,0.914,1.0
239,1994,0.0028,1.0
239,1996,0.12,1.0
239,1997,0.4612,1.0
239,1999,0.0072,1.0
239,2000,0.0088,1.0
239,2002,0.1352,1.0
239,2004,0.006,1.0
239,2008,0.004,1.0
239,2009,0.3868,1.0
239,2010,0.844,1.0
239,2011,0.3288,1.0
239,2012,0.0828,1.0
239,2013,0.0108,0.7074461488149882
240,1991,0.2148,0.5899704739488164
240,1992,0.616,1.0
240,1993,0.6372,1.0
240,1994,0.0384,1.0
240,1995,0.0548,1.0
240,1996,0.4812,1.0
240,1997,0.4884,1.0
240,2000,0.58,1.0
240,2001,0.4596,1.0
240,2002,0.074,1.0
240,2003,0.016,1.0
240,2004,0.0888,1.0
240,2005,0.1388,1.0
240,2007,0.0196,1.0
240,2009,0.0492,1.0
240,2010,0.3692,1.0
240,2011,0.1064,1.0
240,2012,0.094,1.0
240,2013,0.166,0.9886409432905411
241,1991,0.0148,0.9446868384260154
241,1992,0.0636,1.0
241,1994,0.0204,1.0
241,1995,0.6044,1.0
241,1996,0.6836,1.0
241,1997,0.1084,1.0
241,2000,0.7268,1.0
241,2001,0.952,1.0
241,2002,0.4,1.0
241,2003,0.0376,1.0
241,2004,0.388,1.0
241,2005,0.0832,1.0
241,2007,0.02,1.0
241,2008,0.1016,1.0
241,2009,0.4352,1.0
241,2010,0.132,1.0
241,2011,0.064,1.0
241,2012,0.0612,1.0
241,2013,0.0624,1.0
242,1991,0.5632,0.8916566852762059
242,1992,0.6644,1.0
242,1993,0.3036,1.0
242,1994,0.414,1.0
242,1995,0.006,1.0
242,1999,0.1628,1.0
242,2000,0.942,1.0
242,2001,0.7812,1.0
242,2002,0.3312,1.0
242,2003,0.2428,1.0
242,2004,0.4592,1.0
242,2005,0.0004,1.0
242,2007,0.4344,1.0
242,2008,0.332,1.0
242,2009,0.2964,1.0
242,2010,0.2292,1.0
242,2011,0.1028,1.0
242,2012,0.2268,1.0
242,2013,0.7928,1.0
242,2014,0.068,0.8680027226290502
243,1991,0.7928,0.8302229059986399
243,1992,0.7792,1.0
243,1993,0.3648,1.0
243,1994,0.4264,1.0
243,1995,0.1328,1.0
243,1998,0.0048,1.0
243,1999,0.0936,1.0
243,2000,0.8504,1.0
243,2001,0.8408,1.0
243,2002,0.2484,1.0
243,2003,0.0032,1.0
243,2005,0.3536,1.0
243,2006,0.43,1.0
243,2007,0.4428,1.0
243,2008,0.3312,1.0
243,2009,0.8132,1.0
243,2010,0.912,1.0
243,2011,0.346,1.0
243,2012,0.3392,1.0
243,2013,0.4352,1.0
243,2014,0.3492,1.0
