idx_x,idx_y,crop_ratio,overlap_ratio
957,1579,0.2608,0.41589932082233394
958,1578,0.3816,0.9109072594730898
958,1579,0.0252,0.9527306571140256
959,1577,0.9552,0.8431311446421
959,1578,0.8516,1.0
959,1579,0.0172,1.0
959,1580,0.4488,0.5263740335727617
960,1573,0.0704,0.3050642834635454
960,1576,0.6024,0.7637325372542055
960,1577,0.8464,1.0
960,1578,0.9912,1.0
960,1579,0.3828,1.0
960,1580,0.038,0.95053925312207
961,1572,0.532,0.7754475399087698
961,1573,0.908,1.0
961,1574,0.2176,0.6326128485052827
961,1575,0.2728,0.7345567427936381
961,1576,0.2016,1.0
961,1577,0.6916,1.0
961,1578,0.92,1.0
961,1579,0.5356,1.0
961,1580,0.0128,1.0
961,1581,0.384,0.529893541677855
962,1570,0.138,0.6938831589678303
962,1571,0.776,0.9990831147595475
962,1572,0.362,1.0
962,1573,0.4784,1.0
962,1574,0.2852,1.0
962,1575,0.2392,1.0
962,1576,0.6504,1.0
962,1577,0.2472,1.0
962,1578,0.4612,1.0
962,1579,0.5608,1.0
962,1580,0.3204,1.0
962,1581,0.0164,0.9521139780336033
963,1570,0.9592,1.0
963,1571,0.9768,1.0
963,1572,0.3256,1.0
963,1573,0.026,1.0
963,1574,0.01,1.0
963,1575,0.0344,1.0
963,1576,0.2276,1.0
963,1577,0.1132,1.0
963,1578,0.4052,1.0
963,1579,0.9612,1.0
963,1580,0.87,1.0
963,1581,0.0204,1.0
963,1582,0.1824,0.5331086412156001
964,1569,0.1128,0.5706544805288518
964,1570,0.816,0.9995784041238591
964,1571,0.7644,1.0
964,1572,0.9172,1.0
964,1573,0.0632,1.0
964,1574,0.0112,1.0
964,1575,0.042,1.0
964,1576,0.0376,1.0
964,1577,0.094,1.0
964,1578,0.1828,1.0
964,1579,0.9444,1.0
964,1580,0.9796,1.0
964,1581,0.4616,1.0
964,1582,0.5672,0.9533040842490587
965,1568,0.0284,0.9454072524140102
965,1569,0.0428,1.0
965,1570,0.2792,1.0
965,1571,0.1976,1.0
965,1572,0.1784,1.0
965,1573,0.176,1.0
965,1574,0.0168,1.0
965,1575,0.0936,1.0
965,1576,0.2516,1.0
965,1577,0.1696,1.0
965,1578,0.0448,1.0
965,1579,0.6276,1.0
965,1580,0.8296,1.0
965,1581,0.8516,1.0
965,1582,0.9276,1.0
965,1583,0.9068,0.5322496525989845
966,1564,0.0116,0.9972643172438497
966,1565,0.2756,0.8127308577293665
966,1566,0.2456,0.9019170491795498
966,1567,0.488,1.0
966,1568,0.0864,1.0
966,1569,0.086,1.0
966,1570,0.3728,1.0
966,1571,0.178,1.0
966,1572,0.408,1.0
966,1573,0.4204,1.0
966,1574,0.01,1.0
966,1575,0.2132,1.0
966,1576,0.4556,1.0
966,1577,0.2996,1.0
966,1578,0.344,1.0
966,1579,0.4604,1.0
966,1580,0.712,1.0
966,1581,0.984,1.0
966,1582,0.924,1.0
966,1583,0.8644,0.9521626986761192
967,1565,0.2392,0.9541769288146636
967,1566,0.3484,0.999488989323158
967,1567,0.6284,1.0
967,1568,0.1356,1.0
967,1569,0.1512,1.0
967,1570,0.0284,1.0
967,1571,0.2576,1.0
967,1572,0.0208,1.0
967,1574,0.1212,1.0
967,1575,0.3244,1.0
967,1576,0.1648,1.0
967,1577,0.388,1.0
967,1578,0.0188,1.0
967,1579,0.0688,1.0
967,1580,0.0132,1.0
967,1581,0.5968,1.0
967,1582,0.1336,1.0
967,1583,0.0552,1.0
967,1584,0.3504,0.5399441274385899
968,1567,0.0896,1.0
968,1568,0.0328,1.0
968,1569,0.2084,1.0
968,1570,0.0268,1.0
968,1571,0.0508,1.0
968,1572,0.3336,1.0
