idx_x,idx_y,crop_ratio,overlap_ratio
1048,1142,0.1716,0.8606659454241349
1048,1143,0.0032,0.5658144187792723
1049,1134,0.892,0.9020023974321758
1049,1135,0.54,0.998775712978475
1049,1136,0.0648,0.8538744094781577
1049,1137,0.7456,0.6109063227614465
1049,1142,0.0028,1.0
1049,1143,0.0196,0.9888969625074563
1049,1144,0.0724,0.7851683796211223
1050,1134,0.868,1.0
1050,1135,0.4696,1.0
1050,1137,0.8684,1.0
1050,1138,0.9636,1.0
1050,1139,0.9868,1.0
1050,1140,0.8824,0.9079865970194344
1050,1141,0.2204,0.8218870396504664
1050,1146,0.0372,0.6235582784471889
1051,1134,0.8564,1.0
1051,1135,0.2384,1.0
1051,1136,0.1064,1.0
1051,1137,0.6592,1.0
1051,1138,0.8824,1.0
1051,1139,1.0,1.0
1051,1140,0.7472,1.0
1051,1141,0.0064,1.0
1051,1145,0.0056,1.0
1052,1134,0.0616,1.0
1052,1135,0.7216,1.0
1052,1136,0.558,1.0
1052,1137,0.8292,1.0
1052,1138,0.706,1.0
1052,1139,0.9664,1.0
1052,1140,0.5048,1.0
1052,1146,0.0156,0.9305812463785208
1053,1134,0.224,1.0
1053,1135,1.0,1.0
1053,1136,0.5404,1.0
1053,1137,0.0852,1.0
1053,1139,0.1108,1.0
1053,1140,0.1152,1.0
1053,1141,0.0664,1.0
1053,1145,0.0096,1.0
1053,1146,0.0204,0.5392842164519327
1053,1192,0.0316,0.7114311215791876
1053,1193,0.0756,0.5015747620092239
1054,1134,0.392,1.0
1054,1135,0.7508,1.0
1054,1136,0.1436,1.0
1054,1140,0.1356,1.0
1054,1141,0.92,1.0
1054,1142,0.006,1.0
1054,1186,0.1268,0.9117857164700853
1054,1187,0.1004,1.0
1054,1188,0.0856,0.9766155540746849
1054,1189,0.1596,0.6686995850226288
1054,1190,0.008,0.6106121795560221
1054,1191,0.0324,0.9810114458238718
1054,1192,0.0624,1.0
1054,1193,0.378,0.970049347959908
1055,1134,0.1044,1.0
1055,1135,0.4088,1.0
1055,1136,0.0008,1.0
1055,1137,0.0172,1.0
1055,1140,0.362,1.0
1055,1141,0.7248,1.0
1055,1149,0.0756,0.6595882286758616
1055,1150,0.0348,0.48910347099882884
1055,1185,0.0048,0.8439776579057368
1055,1186,0.0148,1.0
1055,1187,0.0068,1.0
1055,1188,0.026,1.0
1055,1189,0.1056,1.0
1055,1190,0.0164,1.0
1055,1191,0.0468,1.0
1055,1192,0.1284,1.0
1055,1193,0.3868,1.0
1055,1194,0.0512,0.5826977841239422
1056,1132,0.2552,0.6103007047277124
1056,1133,0.2496,1.0
1056,1134,0.1136,1.0
1056,1136,0.0196,1.0
1056,1137,0.042,1.0
1056,1138,0.0056,1.0
1056,1140,0.6104,1.0
1056,1141,0.474,1.0
1056,1175,0.0852,0.9977688821158363
1056,1176,0.1904,0.993176223331237
1056,1178,0.0052,0.995387327397821
1056,1179,0.2296,1.0
1056,1183,0.0388,0.9460362966770254
1056,1184,0.014,0.952852643913831
1056,1188,0.0112,1.0
1056,1189,0.0244,1.0
1056,1190,0.0408,1.0
1056,1191,0.0328,1.0
1056,1192,0.0504,1.0
1056,1193,0.016,1.0
1056,1194,0.2004,0.9702807828072906
1057,1121,0.0068,0.6988963026353516
1057,1132,0.5652,0.8186005990987121
1057,1133,0.9204,1.0
1057,1134,0.9956,1.0
1057,1135,0.2728,1.0
1057,1136,0.0044,1.0
1057,1137,0.0124,1.0
1057,1140,0.834,1.0
1057,1141,0.5432,1.0
1057,1142,0.0448,1.0
1057,1150,0.012,1.0
1057,1151,0.1732,1.0
1057,1183,0.0028,1.0
1057,1184,0.02,1.0
1057,1185,0.064,1.0
1057,1186,0.2252,1.0
1057,1187,0.1204,1.0
1057,1188,0.0656,1.0
1057,1189,0.0108,1.0
1057,1190,0.1264,1.0
1057,1191,0.2096,1.0
1057,1193,0.0116,1.0
1057,1194,0.1828,1.0
1057,1195,0.404,0.5846326990649104
1058,1132,0.0568,0.9886081128273798
1058,1133,0.5752,1.0
1058,1134,1.0,1.0
1058,1135,0.4096,1.0
1058,1140,0.3964,1.0
1058,1141,0.0468,1.0
1058,1142,0.0104,1.0
1058,1150,0.4468,1.0
1058,1151,0.9984,1.0
1058,1152,0.5172,0.9214734767883166
1058,1184,0.0348,1.0
1058,1185,0.2176,1.0
1058,1186,0.4716,1.0
1058,1187,0.5208,1.0
1058,1188,0.404,1.0
1058,1189,0.004,1.0
1058,1190,0.2216,1.0
1058,1191,0.0972,1.0
1058,1192,0.0944,1.0
1058,1193,0.0276,1.0
1058,1194,0.2948,1.0
1058,1195,0.0784,0.9745912193102853
1058,1196,0.3328,0.7889285567849874
1058,1197,0.1316,0.9281845902781933
1058,1198,0.26,0.9999828205360024
1058,1199,0.04,1.0
1058,1200,0.0692,1.0
1058,1201,0.1008,1.0
1059,1132,0.5228,1.0
1059,1133,0.628,1.0
1059,1134,0.4916,1.0
1059,1135,0.242,1.0
1059,1139,0.0148,1.0
1059,1140,0.36,1.0
1059,1141,0.006,1.0
1059,1143,0.102,1.0
1059,1144,0.43,1.0
1059,1145,0.2192,1.0
1059,1150,0.142,1.0
1059,1151,1.0,1.0
1059,1152,0.8612,1.0
1059,1153,0.0004,0.9962757501169732
1059,1174,0.006,1.0
1059,1185,0.0648,1.0
1059,1186,0.1576,1.0
1059,1187,0.566,1.0
1059,1188,0.4232,1.0
1059,1189,0.3396,1.0
1059,1190,0.3904,1.0
1059,1191,0.5824,1.0
1059,1192,0.1504,1.0
1059,1193,0.508,1.0
1059,1194,0.2304,1.0
1059,1195,0.2604,1.0
1059,1196,0.2916,1.0
1059,1197,0.0084,1.0
1059,1198,0.4276,1.0
1059,1199,0.2052,1.0
1059,1200,0.272,1.0
1059,1201,0.2616,1.0
1059,1202,0.266,0.6587543588731792
1060,1114,0.338,0.6551376953746745
1060,1132,0.2876,1.0
1060,1133,0.1144,1.0
1060,1139,0.0008,1.0
1060,1140,0.0816,1.0
1060,1141,0.0288,1.0
1060,1144,0.2532,1.0
1060,1145,0.2592,1.0
1060,1148,0.0028,1.0
1060,1150,0.4032,1.0
1060,1151,1.0,1.0
1060,1152,0.6112,1.0
1060,1172,0.0356,1.0
1060,1173,0.044,1.0
1060,1174,0.048,1.0
1060,1175,0.0568,1.0
1060,1179,0.1956,1.0
1060,1180,0.0252,1.0
1060,1182,0.0552,1.0
1060,1183,0.058,1.0
1060,1184,0.0192,1.0
1060,1185,0.0068,1.0
1060,1186,0.172,1.0
1060,1187,0.1976,1.0
1060,1188,0.4164,1.0
1060,1189,0.1728,1.0
1060,1190,0.45,1.0
1060,1191,0.1216,1.0
1060,1192,0.0292,1.0
1060,1193,0.382,1.0
1060,1194,0.1104,1.0
1060,1196,0.0512,0.8301272378806505
1060,1197,0.0084,0.8140427752241899
1060,1198,0.0008,0.9177820152227084
1060,1199,0.3364,1.0
1060,1200,0.1272,0.9652989230871822
1060,1201,0.4712,0.5401424614661373
1061,1113,0.4664,0.5100068234507593
1061,1114,0.0124,0.9871542949778203
1061,1127,0.2016,1.0
1061,1133,0.0128,1.0
1061,1135,0.058,1.0
1061,1136,0.006,1.0
1061,1137,0.15,1.0
1061,1138,0.03,1.0
1061,1139,0.026,1.0
1061,1140,0.0244,1.0
1061,1141,0.6264,1.0
1061,1142,0.0076,1.0
1061,1147,0.0752,1.0
1061,1148,0.7372,1.0
1061,1150,0.2228,1.0
1061,1151,0.8884,1.0
1061,1152,0.484,1.0
1061,1154,0.0084,1.0
1061,1155,0.1192,0.6054850198434691
1061,1157,0.0004,0.9035762680439519
1061,1160,0.0784,0.5307879053827272
1061,1171,0.0364,1.0
1061,1172,0.028,1.0
1061,1173,0.0008,1.0
1061,1175,0.0464,1.0
1061,1176,0.2464,1.0
1061,1179,0.6176,1.0
1061,1180,0.0024,1.0
1061,1182,0.4684,1.0
1061,1183,0.198,1.0
1061,1184,0.9324,1.0
1061,1185,0.062,1.0
1061,1186,0.1504,1.0
1061,1187,0.2288,1.0
1061,1188,0.172,1.0
1061,1189,0.11,1.0
1061,1190,0.0548,1.0
1061,1193,0.0124,1.0
1061,1194,0.086,1.0
1061,1195,0.3928,1.0
1061,1196,0.2872,0.6566601482111774
1061,1199,0.0796,0.6091593516659923
1062,1112,0.104,0.8041739965612448
1062,1126,0.05,1.0
1062,1127,0.9596,1.0
1062,1128,0.8128,1.0
1062,1129,0.6356,1.0
1062,1132,0.1216,1.0
1062,1133,0.7856,1.0
1062,1134,0.3732,1.0
1062,1135,0.1532,1.0
1062,1136,0.1588,1.0
1062,1137,0.1884,1.0
1062,1138,0.0304,1.0
1062,1139,0.026,1.0
1062,1140,0.0184,1.0
1062,1141,0.4256,1.0
1062,1147,0.0888,1.0
1062,1148,0.5268,1.0
1062,1149,0.0324,1.0
1062,1151,0.3304,1.0
1062,1152,0.6732,1.0
1062,1155,0.164,1.0
1062,1156,0.13,1.0
1062,1157,0.088,1.0
1062,1158,0.0376,0.9435411247910258
1062,1159,0.02,0.9310626205931798
1062,1160,0.0516,1.0
1062,1161,0.0292,1.0
1062,1162,0.0168,1.0
1062,1163,0.006,1.0
1062,1168,0.0616,1.0
1062,1169,0.1832,1.0
1062,1170,0.8632,1.0
1062,1171,0.794,1.0
1062,1172,0.0544,1.0
1062,1173,0.0176,1.0
1062,1175,0.6848,1.0
1062,1176,0.8088,1.0
1062,1177,0.4488,1.0
1062,1178,0.5976,1.0
1062,1179,0.4492,1.0
1062,1180,0.052,1.0
1062,1182,0.0076,1.0
1062,1183,0.1572,1.0
1062,1184,0.772,1.0
1062,1185,0.5784,1.0
1062,1186,0.3636,1.0
1062,1187,0.1036,1.0
1062,1188,0.1316,1.0
1062,1189,0.0352,1.0
1062,1191,0.04,1.0
1062,1192,0.0844,1.0
1062,1193,0.2392,1.0
1062,1194,0.4024,1.0
1062,1195,0.4204,1.0
1062,1196,0.04,0.9564238305637206
1062,1198,0.0016,0.42497207987798646
1063,1107,0.0256,0.8602932111702797
1063,1108,0.0092,1.0
1063,1126,0.1432,1.0
1063,1127,1.0,1.0
1063,1128,0.956,1.0
1063,1129,0.728,1.0
1063,1132,0.1464,1.0
1063,1133,0.3696,1.0
1063,1134,0.164,1.0
1063,1135,0.3224,1.0
1063,1136,0.4,1.0
1063,1137,0.0356,1.0
1063,1139,0.0344,1.0
1063,1140,0.096,1.0
1063,1141,0.0184,1.0
1063,1143,0.0076,1.0
1063,1144,0.018,1.0
1063,1148,0.1632,1.0
1063,1149,0.0056,1.0
1063,1152,0.0148,1.0
1063,1153,0.1344,1.0
1063,1156,0.0268,1.0
1063,1159,0.0056,1.0
1063,1167,0.0016,1.0
1063,1168,0.0128,1.0
1063,1169,0.1972,1.0
1063,1170,0.1448,1.0
1063,1171,0.0008,1.0
1063,1175,0.0264,1.0
1063,1176,0.0528,1.0
1063,1177,0.188,1.0
1063,1178,0.9936,1.0
1063,1179,0.9856,1.0
1063,1180,0.1596,1.0
1063,1181,0.0796,1.0
1063,1182,0.0204,1.0
1063,1183,0.0732,1.0
1063,1184,0.454,1.0
1063,1185,0.3652,1.0
1063,1186,0.0556,1.0
1063,1189,0.0032,1.0
1063,1190,0.0036,1.0
1063,1192,0.1444,1.0
1063,1193,0.022,0.7454556398127488
1064,1105,0.148,0.8156533863525695
1064,1107,0.0812,1.0
1064,1108,0.0304,1.0
1064,1113,0.0692,1.0
1064,1114,0.13,1.0
1064,1126,0.6036,1.0
1064,1127,0.9976,1.0
1064,1128,0.9464,1.0
1064,1129,0.734,1.0
1064,1130,0.012,1.0
1064,1132,0.318,1.0
1064,1133,0.3728,1.0
1064,1134,0.3616,1.0
1064,1135,0.5108,1.0
1064,1136,0.354,1.0
1064,1139,0.0164,1.0
1064,1140,0.7972,1.0
1064,1141,0.5872,1.0
1064,1145,0.3952,1.0
1064,1146,0.2132,1.0
1064,1153,0.066,1.0
1064,1157,0.0088,1.0
1064,1158,0.0092,1.0
1064,1166,0.0048,1.0
1064,1167,0.0244,1.0
1064,1177,0.0068,1.0
1064,1178,0.4272,1.0
1064,1179,0.6632,1.0
1064,1181,0.0704,1.0
1064,1182,0.1024,1.0
1064,1183,0.1888,1.0
1064,1184,0.0544,1.0
1064,1189,0.0272,1.0
1064,1190,0.0036,1.0
1064,1191,0.04,1.0
1064,1192,0.2436,0.9881545438762576
1065,1104,0.7088,0.8489206500939241
1065,1105,0.0816,1.0
1065,1108,0.038,1.0
1065,1109,0.0096,1.0
1065,1112,0.0124,1.0
1065,1113,0.0472,1.0
1065,1114,0.156,1.0
