idx_x,idx_y,crop_ratio,overlap_ratio
386,555,0.0088,1.0
386,556,0.0496,1.0
386,558,0.0012,0.7347083694846369
387,552,0.0068,1.0
387,553,0.0028,1.0
387,554,0.0048,1.0
387,556,0.2204,1.0
388,399,0.6192,0.7227622229009867
388,400,0.7292,0.9574149255571375
388,401,0.9044,1.0
388,402,0.982,1.0
388,403,0.9816,1.0
388,404,0.9996,1.0
388,405,0.8196,1.0
388,406,0.8712,0.9158972538274418
388,550,0.0188,1.0
388,551,0.0272,1.0
388,554,0.0116,1.0
388,556,0.028,1.0
389,395,0.0016,0.6907529661790468
389,396,0.4316,0.9370382080068517
389,397,0.862,1.0
389,398,0.6176,1.0
389,399,0.036,1.0
389,400,0.5036,1.0
389,401,0.932,1.0
389,402,0.9744,1.0
389,403,0.9904,1.0
389,404,0.8848,1.0
389,405,0.81,1.0
389,406,0.8988,1.0
389,407,0.2064,1.0
389,539,0.008,1.0
389,552,0.0024,1.0
389,553,0.0232,1.0
389,556,0.0012,1.0
390,379,0.0908,0.5175591107299551
390,380,0.2412,0.5476544700702652
390,381,0.4932,0.5777498294101097
390,382,0.83,0.6078451887499541
390,383,0.3976,0.6379405480897985
390,394,0.0316,1.0
390,395,0.6528,1.0
390,396,0.9852,1.0
390,397,0.72,1.0
390,398,0.0268,1.0
390,399,0.5872,1.0
390,400,0.9768,1.0
390,401,0.9448,1.0
390,402,1.0,1.0
390,403,1.0,1.0
390,404,1.0,1.0
390,405,0.7248,1.0
390,406,0.0884,1.0
390,410,0.0048,0.7230744330967703
390,551,0.0232,1.0
390,552,0.006,1.0
390,554,0.0232,1.0
390,555,0.002,1.0
391,369,0.0156,1.0
391,370,0.188,1.0
391,371,0.0456,1.0
391,372,0.0404,1.0
391,373,0.0008,1.0
391,374,0.0704,1.0
391,375,0.1152,1.0
391,376,0.0836,1.0
391,377,0.0152,1.0
391,378,0.0276,1.0
391,379,0.0732,1.0
391,380,0.1932,1.0
391,381,0.2,1.0
391,382,0.2568,1.0
391,393,0.0088,1.0
391,394,0.6956,1.0
391,395,0.956,1.0
391,396,0.9916,1.0
391,397,0.996,1.0
391,398,0.8304,1.0
391,399,0.9288,1.0
391,400,0.9592,1.0
391,401,0.9976,1.0
391,402,0.974,1.0
391,403,1.0,1.0
391,404,0.6924,1.0
391,405,0.0436,1.0
391,408,0.0056,1.0
391,410,0.0016,1.0
391,411,0.0092,0.9870146824947383
391,489,0.0128,0.5918585452613911
391,536,0.0108,1.0
391,548,0.006,1.0
391,551,0.006,1.0
391,552,0.006,1.0
391,553,0.006,1.0
391,554,0.0252,1.0
391,555,0.0084,1.0
391,557,0.0112,1.0
392,368,0.0172,1.0
392,369,0.0964,1.0
392,370,0.0796,1.0
392,371,0.3712,1.0
392,372,0.428,1.0
392,377,0.1228,1.0
392,378,0.422,1.0
392,379,0.2788,1.0
392,380,0.1264,1.0
392,381,0.1072,1.0
392,382,0.0864,1.0
392,392,0.012,1.0
392,393,0.0156,1.0
392,394,0.26,1.0
392,395,0.9752,1.0
392,396,0.9848,1.0
392,397,0.9208,1.0
392,398,0.95,1.0
392,399,0.966,1.0
392,400,0.962,1.0
392,401,0.9972,1.0
392,402,0.9888,1.0
392,403,0.488,1.0
392,404,0.034,1.0
392,407,0.006,1.0
392,409,0.0036,1.0
392,410,0.0764,1.0
392,411,0.1208,1.0
392,432,0.006,0.7430479254522361
392,434,0.0616,1.0
392,435,0.0376,1.0
392,436,0.0264,1.0
392,440,0.0096,1.0
392,489,0.0044,1.0
392,553,0.0644,1.0
392,554,0.1044,1.0
392,555,0.0448,1.0
392,557,0.0028,1.0
393,360,0.0112,1.0
393,369,0.1192,1.0
393,370,0.3016,1.0
393,371,0.19,1.0
393,372,0.0416,1.0
393,373,0.0084,1.0
393,374,0.01,1.0
393,375,0.1868,1.0
393,376,0.2492,1.0
393,377,0.7116,1.0
393,378,0.7372,1.0
393,379,0.6848,1.0
393,380,0.6744,1.0
393,381,0.9832,1.0
393,382,0.292,1.0
393,391,0.2012,1.0
393,392,0.0412,1.0
393,393,0.124,1.0
393,394,0.0932,1.0
393,395,0.4028,1.0
393,396,0.9396,1.0
393,397,0.8712,1.0
393,398,0.94,1.0
393,399,0.9904,1.0
393,400,0.966,1.0
393,401,0.9312,1.0
393,402,0.2984,1.0
393,409,0.0444,1.0
393,410,0.076,1.0
393,411,0.2208,1.0
393,434,0.0544,1.0
393,435,0.0812,1.0
393,436,0.0416,1.0
393,437,0.0072,1.0
393,439,0.0156,1.0
393,440,0.0056,1.0
393,441,0.0244,1.0
393,494,0.0124,1.0
393,497,0.0056,0.9952566758792838
393,498,0.0064,0.8608724023266695
393,535,0.006,1.0
393,555,0.0048,1.0
393,557,0.0064,1.0
394,363,0.0096,1.0
394,372,0.0512,1.0
394,373,0.6852,1.0
394,374,0.6688,1.0
394,375,0.4616,1.0
394,376,0.6536,1.0
394,377,0.4184,1.0
394,378,0.5152,1.0
394,379,0.6088,1.0
394,380,0.5444,1.0
394,381,0.5272,1.0
394,382,0.0372,1.0
394,387,0.0044,1.0
394,390,0.16,1.0
394,391,0.3072,1.0
394,392,0.0352,1.0
394,393,0.0284,1.0
394,394,0.0108,1.0
394,395,0.0164,1.0
394,396,0.5464,1.0
394,397,0.9144,1.0
394,398,0.9384,1.0
394,399,0.9844,1.0
394,400,0.8024,1.0
394,401,0.1428,1.0
394,404,0.0048,1.0
394,408,0.0088,1.0
394,409,0.0248,1.0
394,410,0.1128,1.0
394,411,0.0396,1.0
394,434,0.1052,1.0
394,435,0.0456,1.0
394,436,0.1076,1.0
394,437,0.03,1.0
394,439,0.1164,1.0
394,440,0.0912,1.0
394,489,0.012,1.0
394,490,0.0008,1.0
394,494,0.0188,1.0
394,496,0.0292,1.0
394,497,0.0116,1.0
394,498,0.018,1.0
394,502,0.0104,0.9999119390938463
394,503,0.0436,0.8982455658979016
394,534,0.0196,1.0
394,548,0.0044,1.0
394,552,0.022,1.0
394,555,0.014,1.0
395,371,0.0776,1.0
395,372,0.1668,1.0
395,373,0.5504,1.0
395,374,0.5584,1.0
395,375,0.3804,1.0
395,376,0.44,1.0
395,377,0.304,1.0
395,378,0.3536,1.0
395,379,0.0932,1.0
395,380,0.388,1.0
395,381,0.4792,1.0
395,388,0.0136,1.0
395,389,0.0764,1.0
395,390,0.1064,1.0
395,391,0.0316,1.0
395,392,0.002,1.0
395,393,0.2368,1.0
395,394,0.0596,1.0
395,395,0.0372,1.0
395,396,0.064,1.0
395,397,0.7364,1.0
395,398,0.9672,1.0
395,399,0.6256,1.0
395,400,0.158,1.0
395,405,0.0076,1.0
395,407,0.0068,1.0
395,408,0.0572,1.0
395,411,0.0772,1.0
395,412,0.0424,1.0
395,432,0.0196,1.0
395,433,0.0232,1.0
395,434,0.1512,1.0
395,435,0.4796,1.0
395,436,0.1088,1.0
395,437,0.0116,1.0
395,440,0.0048,1.0
395,441,0.0084,1.0
395,485,0.0008,1.0
395,486,0.0204,1.0
395,487,0.0072,1.0
395,489,0.018,1.0
395,490,0.006,1.0
395,493,0.0092,1.0
395,496,0.0092,1.0
395,497,0.0444,1.0
395,498,0.0088,1.0
395,499,0.0316,1.0
395,500,0.0392,1.0
395,502,0.0088,1.0
395,503,0.016,1.0
395,533,0.0084,1.0
395,534,0.0268,1.0
395,537,0.0052,1.0
395,554,0.0136,1.0
395,555,0.01,1.0
396,359,0.0204,1.0
396,360,0.0236,1.0
396,368,0.0136,1.0
396,369,0.2824,1.0
396,370,0.5132,1.0
396,371,0.4764,1.0
396,372,0.3492,1.0
396,373,0.2944,1.0
396,374,0.1516,1.0
396,375,0.5896,1.0
396,376,0.27,1.0
396,377,0.5072,1.0
396,378,0.3464,1.0
396,379,0.002,1.0
396,380,0.0044,1.0
396,381,0.0136,1.0
396,387,0.0072,1.0
396,388,0.1068,1.0
396,389,0.236,1.0
396,390,0.2912,1.0
396,391,0.0144,1.0
396,392,0.1292,1.0
396,393,0.3868,1.0
396,394,0.0384,1.0
396,395,0.0768,1.0
396,396,0.1336,1.0
396,397,0.1516,1.0
396,398,0.3076,1.0
396,405,0.0044,1.0
396,406,0.0144,1.0
396,407,0.0072,1.0
396,408,0.0076,1.0
396,414,0.0068,1.0
396,423,0.0124,1.0
396,426,0.0064,1.0
396,429,0.006,1.0
396,431,0.0072,1.0
396,432,0.0136,1.0
396,433,0.1084,1.0
396,434,0.3344,1.0
396,435,0.5016,1.0
396,436,0.2,1.0
396,437,0.0216,1.0
396,442,0.006,1.0
396,489,0.0048,1.0
396,490,0.0128,1.0
396,492,0.046,1.0
396,493,0.1124,1.0
396,494,0.0136,1.0
396,495,0.042,1.0
396,497,0.0048,1.0
396,502,0.008,1.0
396,503,0.0028,1.0
396,554,0.0124,1.0
396,555,0.206,1.0
397,358,0.0296,1.0
397,359,0.0572,1.0
397,360,0.0056,1.0
397,361,0.0048,1.0
397,369,0.3252,1.0
397,370,0.7108,1.0
397,371,0.4856,1.0
397,372,0.27,1.0
397,373,0.2184,1.0
397,374,0.1604,1.0
397,375,0.1504,1.0
397,376,0.0452,1.0
397,377,0.3244,1.0
397,378,0.2232,1.0
397,383,0.0064,1.0
397,386,0.0084,1.0
397,387,0.222,1.0
397,388,0.4984,1.0
397,389,0.6868,1.0
397,390,0.3348,1.0
397,391,0.1948,1.0
397,392,0.122,1.0
397,393,0.1396,1.0
397,394,0.1704,1.0
397,395,0.0968,1.0
397,396,0.0228,1.0
397,398,0.002,1.0
397,399,0.0008,1.0
397,403,0.0144,1.0
397,404,0.0296,1.0
397,406,0.0504,1.0
397,423,0.0104,1.0
397,424,0.0008,1.0
397,426,0.002,1.0
397,427,0.004,1.0
397,428,0.0008,1.0
397,430,0.0056,1.0
397,431,0.0344,1.0
397,432,0.0068,1.0
397,433,0.168,1.0
397,434,0.22,1.0
397,435,0.2552,1.0
397,436,0.1064,1.0
397,437,0.0052,1.0
397,484,0.0456,1.0
397,489,0.0416,1.0
397,490,0.0196,1.0
397,492,0.0092,1.0
397,493,0.0264,1.0
397,494,0.1244,1.0
397,495,0.284,1.0
397,496,0.0112,1.0
397,517,0.0144,1.0
397,518,0.004,1.0
397,532,0.0048,1.0
397,535,0.0128,1.0
397,554,0.1268,1.0
397,555,0.0588,1.0
397,558,0.0084,1.0
398,358,0.0056,1.0
398,369,0.1948,1.0
398,370,0.28,1.0
398,371,0.2452,1.0
398,372,0.2624,1.0
398,373,0.0656,1.0
398,382,0.0164,1.0
398,383,0.0124,1.0
398,386,0.0356,1.0
398,387,0.0128,1.0
398,388,0.3716,1.0
398,389,0.1632,1.0
398,390,0.4332,1.0
398,391,0.2,1.0
398,392,0.2496,1.0
398,393,0.246,1.0
398,394,0.0352,1.0
398,395,0.0176,1.0
398,396,0.0396,1.0
398,397,0.0344,1.0
398,398,0.3452,1.0
398,399,0.01,1.0
398,404,0.076,1.0
398,405,0.0012,1.0
398,406,0.0076,1.0
398,422,0.0112,1.0
398,424,0.0772,1.0
398,426,0.0044,1.0
398,427,0.024,1.0
398,430,0.0116,1.0
398,431,0.0064,1.0
398,432,0.0132,1.0
398,433,0.1992,1.0
398,434,0.112,1.0
398,435,0.1652,1.0
398,436,0.04,1.0
398,440,0.042,1.0
398,483,0.0932,1.0
398,484,0.1992,1.0
398,493,0.0428,1.0
398,494,0.1176,1.0
398,495,0.0412,1.0
398,496,0.0312,1.0
398,499,0.0072,1.0
398,500,0.0192,1.0
398,516,0.0488,1.0
398,517,0.0812,1.0
398,518,0.0136,1.0
398,531,0.0812,1.0
398,532,0.0056,1.0
398,535,0.0052,1.0
398,553,0.006,1.0
398,554,0.0172,1.0
398,555,0.006,1.0
398,557,0.0192,1.0
398,558,0.0676,1.0
398,560,0.05,1.0
399,358,0.028,1.0
399,359,0.0024,1.0
399,372,0.0428,1.0
399,373,0.018,1.0
399,380,0.0088,1.0
399,381,0.0048,1.0
399,382,0.0708,1.0
399,383,0.07,1.0
399,384,0.0116,1.0
399,385,0.0452,1.0
399,387,0.0016,1.0
399,388,0.0472,1.0
399,389,0.0748,1.0
399,390,0.1472,1.0
399,391,0.0632,1.0
399,392,0.0132,1.0
399,393,0.0164,1.0
399,394,0.0252,1.0
399,395,0.14,1.0
399,396,0.0472,1.0
399,397,0.0168,1.0
399,402,0.0204,1.0
399,404,0.014,1.0
399,405,0.0048,1.0
399,407,0.0072,1.0
399,421,0.0092,1.0
399,423,0.0732,1.0
399,424,0.034,1.0
399,426,0.0048,1.0
399,427,0.0168,1.0
399,428,0.0164,1.0
399,429,0.012,1.0
399,431,0.1048,1.0
