year,RRMSE,RMSE,MAE,MSE,MAPE
2011,30.903687551569988,10.420429121555575,9.351213151927443,108.5853430773635,29.084444866444812
2012,33.59292892626042,10.335424466312789,8.233633667919383,106.82099889885701,34.46541486193553
2013,23.11957380806845,8.337358688023922,7.275539446547851,69.51154989276799,20.49350040504507
2014,12.827166899890388,5.453989202339108,3.9273968608422405,29.745998219231584,8.90298068505518
2015,20.00149851476023,8.15013441860968,6.638874921374922,66.42469104140613,16.08913587661892
2016,14.742522410613615,6.285930745934967,5.29253762110905,39.51292534269053,12.315173299801033
2017,15.416604037546225,6.67318717625215,5.482682850918146,44.53142708929615,12.564976836251768
2018,22.669792878955658,9.062519581849177,7.504743008314437,82.12926117139978,18.167972187562512
2019,12.416815458624152,5.437382617024176,4.642056277056279,29.56512972391668,10.877102138299142
2020,18.282073041068823,7.370287160270891,5.798849206349208,54.321132824853954,15.784755851041933
total,20.172932944725876,7.944485239974855,6.414752701235894,63.11484572817833,17.874545700805587
sd,6.924547170255069,1.7352353452548224,1.6045946873094694,27.586231634339217,7.771551002153866
