region_name,year,y_test,y_pred
Cherkaska,2011,39.8,41.900000000000006
Chernihivska,2011,26.2,44.708333333333336
Chernivetska,2011,38.0,50.875
Dnipropetrovska,2011,30.8,44.708333333333336
Donetska,2011,33.4,37.25714285714286
Kharkivska,2011,36.5,41.900000000000006
Khmelnytska,2011,41.4,50.875
Kirovohradska,2011,34.7,44.708333333333336
Luhanska,2011,25.3,37.050000000000004
Lvivska,2011,34.9,46.190909090909095
Mykolaivska,2011,30.7,31.827272727272724
Odeska,2011,31.9,43.31
Poltavska,2011,34.0,44.708333333333336
Rivnenska,2011,36.8,46.190909090909095
Sumska,2011,28.3,41.900000000000006
Ternopilska,2011,38.3,50.875
Vinnytska,2011,44.5,41.900000000000006
Volynska,2011,32.3,46.190909090909095
Zakarpatska,2011,30.1,37.050000000000004
Zaporizka,2011,30.1,26.95
Zhytomyrska,2011,30.1,41.900000000000006
Cherkaska,2012,43.6,35.05714285714286
Chernihivska,2012,35.8,35.05714285714286
Chernivetska,2012,37.2,35.05714285714286
Dnipropetrovska,2012,16.6,37.65555555555556
Donetska,2012,22.7,37.65555555555556
Kharkivska,2012,29.0,41.16
Khmelnytska,2012,40.1,35.05714285714286
Kirovohradska,2012,27.9,28.057142857142857
Luhanska,2012,26.9,41.16
Lvivska,2012,35.7,44.66923076923077
Mykolaivska,2012,17.3,28.057142857142857
Odeska,2012,19.4,35.40909090909091
Poltavska,2012,31.7,41.16
Rivnenska,2012,36.0,44.66923076923077
Sumska,2012,35.4,35.05714285714286
Ternopilska,2012,37.2,44.66923076923077
Vinnytska,2012,39.0,35.05714285714286
Volynska,2012,33.6,35.05714285714286
Zakarpatska,2012,30.6,35.05714285714286
Zaporizka,2012,17.5,37.65555555555556
Zhytomyrska,2012,32.9,35.05714285714286
Cherkaska,2013,51.2,38.641176470588235
Chernihivska,2013,37.0,39.325
Chernivetska,2013,34.0,44.925
Dnipropetrovska,2013,33.5,30.646153846153844
Donetska,2013,31.9,30.646153846153844
Kharkivska,2013,43.3,30.646153846153844
Khmelnytska,2013,38.9,46.9625
Kirovohradska,2013,41.2,38.641176470588235
Luhanska,2013,23.5,30.646153846153844
Lvivska,2013,36.1,46.9625
Mykolaivska,2013,30.1,22.787499999999998
Odeska,2013,32.3,22.787499999999998
Poltavska,2013,45.2,52.900000000000006
Rivnenska,2013,33.0,46.9625
Sumska,2013,43.5,46.70714285714286
Ternopilska,2013,35.0,46.9625
Vinnytska,2013,42.8,38.641176470588235
Volynska,2013,36.0,46.9625
Zakarpatska,2013,32.1,30.646153846153844
Zaporizka,2013,26.1,22.787499999999998
Zhytomyrska,2013,30.6,38.641176470588235
Cherkaska,2014,50.4,42.98823529411764
Chernihivska,2014,45.3,42.98823529411764
Chernivetska,2014,47.7,47.63636363636363
Dnipropetrovska,2014,34.2,35.07142857142857
Donetska,2014,38.5,35.07142857142857
Kharkivska,2014,48.8,39.55714285714286
Khmelnytska,2014,52.9,47.63636363636363
Kirovohradska,2014,43.5,30.7625
Luhanska,2014,36.3,35.07142857142857
Lvivska,2014,45.4,43.123076923076916
Mykolaivska,2014,33.6,33.02
Odeska,2014,34.1,33.02
Poltavska,2014,44.0,30.7625
Rivnenska,2014,43.3,43.123076923076916
Sumska,2014,49.6,42.98823529411764
Ternopilska,2014,49.1,47.63636363636363
Vinnytska,2014,51.3,47.63636363636363
Volynska,2014,41.1,43.123076923076916
Zakarpatska,2014,34.4,35.95714285714286
Zaporizka,2014,30.1,33.02
Zhytomyrska,2014,39.3,34.975
Cherkaska,2015,50.5,33.684615384615384
Chernihivska,2015,37.9,33.684615384615384
Chernivetska,2015,47.1,38.75
Dnipropetrovska,2015,34.1,42.362500000000004
Donetska,2015,31.5,31.46875
Kharkivska,2015,39.3,33.684615384615384
Khmelnytska,2015,55.8,40.91818181818182
Kirovohradska,2015,36.8,33.684615384615384
Luhanska,2015,26.7,42.362500000000004
Lvivska,2015,46.4,54.38000000000001
Mykolaivska,2015,34.2,31.46875
Odeska,2015,32.1,31.46875
Poltavska,2015,43.7,33.684615384615384
Rivnenska,2015,43.7,38.75
Sumska,2015,44.2,33.684615384615384
Ternopilska,2015,48.8,43.6888888888889
Vinnytska,2015,48.0,40.91818181818182
Volynska,2015,45.0,38.75
Zakarpatska,2015,34.6,38.75
Zaporizka,2015,31.4,31.46875
Zhytomyrska,2015,43.9,40.91818181818182
Cherkaska,2016,52.6,51.76666666666666
Chernihivska,2016,42.2,45.824999999999996
Chernivetska,2016,39.0,46.7875
Dnipropetrovska,2016,34.6,29.837500000000006
Donetska,2016,37.6,29.837500000000006
Kharkivska,2016,44.5,40.41818181818182
Khmelnytska,2016,55.7,40.666666666666664
Kirovohradska,2016,41.1,49.03636363636363
Luhanska,2016,35.8,36.371428571428574
Lvivska,2016,46.6,40.666666666666664
Mykolaivska,2016,36.1,29.837500000000006
Odeska,2016,38.5,29.837500000000006
Poltavska,2016,45.1,46.01666666666667
Rivnenska,2016,44.3,49.03636363636363
Sumska,2016,42.3,46.01666666666667
Ternopilska,2016,49.2,40.666666666666664
Vinnytska,2016,57.1,51.76666666666666
Volynska,2016,42.1,34.55833333333334
Zakarpatska,2016,34.5,33.285714285714285
Zaporizka,2016,31.6,29.837500000000006
Zhytomyrska,2016,44.9,49.03636363636363
Cherkaska,2017,37.4,43.42666666666667
Chernihivska,2017,46.9,43.42666666666667
Chernivetska,2017,50.8,51.20666666666668
Dnipropetrovska,2017,35.9,31.61764705882353
Donetska,2017,40.1,31.61764705882353
Kharkivska,2017,46.7,33.833333333333336
Khmelnytska,2017,58.9,51.20666666666668
Kirovohradska,2017,33.9,31.61764705882353
Luhanska,2017,38.8,33.833333333333336
Lvivska,2017,48.9,51.20666666666668
Mykolaivska,2017,34.8,31.61764705882353
Odeska,2017,38.8,35.37777777777778
Poltavska,2017,40.1,31.61764705882353
Rivnenska,2017,45.9,51.20666666666668
Sumska,2017,51.3,34.709999999999994
Ternopilska,2017,55.2,51.20666666666668
Vinnytska,2017,50.8,43.42666666666667
Volynska,2017,45.1,51.20666666666668
Zakarpatska,2017,32.9,38.18333333333334
Zaporizka,2017,33.3,31.61764705882353
Zhytomyrska,2017,42.5,43.42666666666667
Cherkaska,2018,48.3,36.477777777777774
Chernihivska,2018,41.3,48.64166666666666
Chernivetska,2018,43.7,36.477777777777774
Dnipropetrovska,2018,30.0,21.642857142857142
Donetska,2018,27.1,21.642857142857142
Kharkivska,2018,33.7,36.477777777777774
Khmelnytska,2018,54.4,36.477777777777774
Kirovohradska,2018,36.2,36.477777777777774
Luhanska,2018,29.3,30.05
Lvivska,2018,45.5,36.53888888888889
