year,RRMSE,RMSE,MAE,MSE,MAPE
2011,20.09879011191008,6.777120608687395,5.730320165203336,45.9293637446954,17.575130500856528
2012,18.661147551344428,5.741413063296969,4.970598269315038,32.96382396339709,19.88464593643436
2013,19.728660766191513,7.114530856303254,6.200291477941396,50.616549305291116,18.704602110560096
2014,10.314575353569222,4.385659206286647,3.4602482195030406,19.23400667368682,7.881263284505727
2015,12.794642169033308,5.213512049543715,3.708900382696761,27.1807078907375,8.376004174850083
2016,8.601603409311673,3.6675598536655585,3.1316040091601036,13.450995280219331,7.465622063111571
2017,13.097559421072738,5.669372149407199,4.672842388425808,32.141780568474005,10.739684046968046
2018,23.388051216653103,9.349651903038227,7.940396527135318,87.41599070798634,18.967047738624792
2019,9.35867962256779,4.098210371863495,3.221366080853896,16.795328252049526,7.1323038366111895
2020,13.990782540383274,5.640284046994515,4.378006770999564,31.812804130780826,12.480072918546162
total,15.183308649239164,5.979476151949416,4.741457429123425,35.754135051731794,12.920637661106854
sd,4.861478794890635,1.5844482790525531,1.4539100525384805,20.574323051814595,5.044171702685149
