region_name,year,y_test,y_pred
Cherkaska,2011,39.8,42.63340340238663
Chernihivska,2011,26.2,42.23256964494512
Chernivetska,2011,38.0,52.46809397565107
Dnipropetrovska,2011,30.8,31.98745413456033
Donetska,2011,33.4,35.79809837576844
Kharkivska,2011,36.5,40.50776007406998
Khmelnytska,2011,41.4,45.518068327875845
Kirovohradska,2011,34.7,36.12579977520111
Luhanska,2011,25.3,35.67236580926057
Lvivska,2011,34.9,46.39331496838878
Mykolaivska,2011,30.7,34.18028266039681
Odeska,2011,31.9,32.27500335466243
Poltavska,2011,34.0,44.862353447151285
Rivnenska,2011,36.8,43.98026056403864
Sumska,2011,28.3,43.062539436314275
Ternopilska,2011,38.3,49.94510060327853
Vinnytska,2011,44.5,49.75234683536047
Volynska,2011,32.3,45.497351220566365
Zakarpatska,2011,30.1,33.27419376484279
Zaporizka,2011,30.1,31.710831922724253
Zhytomyrska,2011,30.1,44.066363411007785
Cherkaska,2012,43.6,41.00293065622097
Chernihivska,2012,35.8,38.23443776731676
Chernivetska,2012,37.2,49.422710508555696
Dnipropetrovska,2012,16.6,30.658019687888807
Donetska,2012,22.7,31.080582668506892
Kharkivska,2012,29.0,36.9190504779802
Khmelnytska,2012,40.1,41.471693314605865
Kirovohradska,2012,27.9,34.980393409693974
Luhanska,2012,26.9,30.161980524609053
Lvivska,2012,35.7,44.98730329417194
Mykolaivska,2012,17.3,30.65517125024394
Odeska,2012,19.4,33.272296638309804
Poltavska,2012,31.7,38.29906819041322
Rivnenska,2012,36.0,44.7617813445534
Sumska,2012,35.4,42.833690227457126
Ternopilska,2012,37.2,47.43989473976919
Vinnytska,2012,39.0,40.43476331376737
Volynska,2012,33.6,45.33507791464825
Zakarpatska,2012,30.6,38.701716945993674
Zaporizka,2012,17.5,29.862468658978337
Zhytomyrska,2012,32.9,43.76293246898031
Cherkaska,2013,51.2,50.05490513973319
Chernihivska,2013,37.0,44.9662481906
Chernivetska,2013,34.0,48.698290942686384
Dnipropetrovska,2013,33.5,29.605924187852533
Donetska,2013,31.9,23.975499264237193
Kharkivska,2013,43.3,37.18793222472341
Khmelnytska,2013,38.9,52.5997481894641
Kirovohradska,2013,41.2,44.658367199967614
Luhanska,2013,23.5,23.051358683268464
Lvivska,2013,36.1,49.49927638890249
Mykolaivska,2013,30.1,34.62814734580984
Odeska,2013,32.3,31.884100604545637
Poltavska,2013,45.2,43.971715743993606
Rivnenska,2013,33.0,49.153385810617536
Sumska,2013,43.5,46.40602628998658
Ternopilska,2013,35.0,48.89643349729809
Vinnytska,2013,42.8,51.21234564290558
Volynska,2013,36.0,49.213988238336604
Zakarpatska,2013,32.1,37.96119083503409
Zaporizka,2013,26.1,26.101279664086224
Zhytomyrska,2013,30.6,51.291251320371536
Cherkaska,2014,50.4,50.495111280941565
Chernihivska,2014,45.3,40.820607052164625
Chernivetska,2014,47.7,44.00361611642653
Dnipropetrovska,2014,34.2,34.91638600604436
Donetska,2014,38.5,33.84400954396847
Kharkivska,2014,48.8,42.10242293302305
Khmelnytska,2014,52.9,47.10968589603686
Kirovohradska,2014,43.5,37.96433462023014
Luhanska,2014,36.3,36.54676627402987
Lvivska,2014,45.4,44.14633979090437
Mykolaivska,2014,33.6,32.99379894561489
Odeska,2014,34.1,33.839290691043765
Poltavska,2014,44.0,47.46706808211123
Rivnenska,2014,43.3,46.87752084082385
Sumska,2014,49.6,42.490193724033674
Ternopilska,2014,49.1,44.550354413839635
Vinnytska,2014,51.3,51.44510408199484
Volynska,2014,41.1,46.85832175318047
Zakarpatska,2014,34.4,33.20271710285536
Zaporizka,2014,30.1,33.81659136185556
Zhytomyrska,2014,39.3,50.922095481397086
Cherkaska,2015,50.5,46.362760394922695
Chernihivska,2015,37.9,38.365648567477564
Chernivetska,2015,47.1,48.14352962304019
Dnipropetrovska,2015,34.1,36.289797626504715
Donetska,2015,31.5,31.68728797988376
Kharkivska,2015,39.3,37.0506183027497
Khmelnytska,2015,55.8,49.993663311469305
Kirovohradska,2015,36.8,35.69858327520076
Luhanska,2015,26.7,29.29072651463978
Lvivska,2015,46.4,48.2894059812715
Mykolaivska,2015,34.2,33.830606157451925
Odeska,2015,32.1,34.944229315317756
Poltavska,2015,43.7,43.90900562806219
Rivnenska,2015,43.7,51.08788170095599
Sumska,2015,44.2,45.01085252063341
Ternopilska,2015,48.8,48.213193766679666
Vinnytska,2015,48.0,39.0506838040554
Volynska,2015,45.0,48.801384540163156
Zakarpatska,2015,34.6,38.02758285537644
Zaporizka,2015,31.4,33.22749215811299
Zhytomyrska,2015,43.9,39.27311620931988
Cherkaska,2016,52.6,49.88612720130934
Chernihivska,2016,42.2,44.11280911983244
Chernivetska,2016,39.0,46.53015148519774
Dnipropetrovska,2016,34.6,36.12013082634689
Donetska,2016,37.6,35.518089706563195
Kharkivska,2016,44.5,40.26527425316966
Khmelnytska,2016,55.7,49.43183821810177
Kirovohradska,2016,41.1,47.60083255643413
Luhanska,2016,35.8,40.86383913323479
Lvivska,2016,46.6,45.24481702878669
