year,RRMSE,RMSE,MAE,MSE,MAPE
2011,20.23675787989676,6.8236420260737605,5.280047619047622,46.56209050000001,16.681233259119846
2012,23.924652641959064,7.360818129509407,6.633166666666671,54.181643535714365,25.252997092774045
2013,19.020296820151213,6.859081324714531,5.4001904761904775,47.04699661904764,15.839673977894735
2014,8.858579860181527,3.7665837891219454,2.857499999999998,14.18715344047623,6.302207965318008
2015,14.06118027814508,5.729596173337497,4.312190476190473,32.82827230952369,10.00874192863584
2016,8.223567781718671,3.5063726627385234,2.8823571428571486,12.294649250000042,6.578233537292492
2017,14.229411490528568,6.159302402328794,5.114499999999986,37.937006083333245,11.764807531928787
2018,17.492400820982017,6.9927954710544755,5.601333333333334,48.89918849999998,12.836899120804974
2019,8.122204683906016,3.556752108247606,2.880214285714278,12.650485559523789,6.6366884314826375
2020,12.899288325522381,5.200255950660596,4.142476190476184,27.042661952380936,12.097690569472643
total,14.666818791787312,5.7760726081828295,4.510397619047617,33.363014774999996,12.399917341472403
sd,5.15187117042223,1.4328889218331826,1.251401517521678,15.290545159364527,5.532228291032299
