year,RRMSE,RMSE,MAE,MSE,MAPE
2011,15.737867913917325,5.306659176116599,4.134289461735962,28.160631611462502,12.764658565767494
2012,15.282052482758965,4.701778147195508,3.9073067691467736,22.106717745445227,14.644246829388518
2013,25.61191661996282,9.23614497918945,7.9492840848139545,85.3063740766065,23.989489390314805
2014,10.848570380175133,4.61270880593256,3.8240950008003187,21.27708252832779,8.601106403757926
2015,11.061016325265713,4.507100795014225,3.6140864106020274,20.313957576417856,8.675466716519246
2016,9.084361769418242,3.8733988230176637,2.9598490204411823,15.00321844215462,6.638149416355857
2017,11.401028929592288,4.935016808094947,4.250583219408979,24.354390896179638,9.418053797161319
2018,23.532042237702186,9.40721402788142,7.986205064265916,88.49567576636898,19.333417543267842
2019,7.710947706596091,3.3766607195170315,2.6451807595724075,11.401837614729276,5.9209647365774005
2020,11.364060911854686,4.581339984750562,3.6408661330813055,20.988676055874276,10.564080862957697
total,14.749636999061815,5.808687995697192,4.491174592386883,33.740856231356666,12.054963426206811
sd,5.710349952884495,1.9992242254722565,1.7997184967491986,26.944511303563292,5.496460893596836
