region_name,year,y_test,y_pred
Cherkaska,2011,39.8,39.29700076886181
Chernihivska,2011,26.2,34.6266439560911
Chernivetska,2011,38.0,48.3192140539731
Dnipropetrovska,2011,30.8,30.535290197513604
Donetska,2011,33.4,32.95310583133002
Kharkivska,2011,36.5,34.12525843228316
Khmelnytska,2011,41.4,39.39142251576179
Kirovohradska,2011,34.7,35.576108077357674
Luhanska,2011,25.3,29.45618137818593
Lvivska,2011,34.9,45.09354318789701
Mykolaivska,2011,30.7,32.04322721588238
Odeska,2011,31.9,33.482958837620615
Poltavska,2011,34.0,39.76002687291799
Rivnenska,2011,36.8,34.93577271883811
Sumska,2011,28.3,36.48652778709541
Ternopilska,2011,38.3,46.67441676864172
Vinnytska,2011,44.5,42.474553306056606
Volynska,2011,32.3,37.19419606073316
Zakarpatska,2011,30.1,35.8351746375736
Zaporizka,2011,30.1,31.13434977654066
Zhytomyrska,2011,30.1,36.54991385658994
Cherkaska,2012,43.6,36.477500229479126
Chernihivska,2012,35.8,37.960669684181234
Chernivetska,2012,37.2,45.892158982140195
Dnipropetrovska,2012,16.6,20.801692838328073
Donetska,2012,22.7,29.074289093078427
Kharkivska,2012,29.0,29.283885589088904
Khmelnytska,2012,40.1,39.47479719372115
Kirovohradska,2012,27.9,27.03987215841304
Luhanska,2012,26.9,32.04561468127671
Lvivska,2012,35.7,43.085490509736935
Mykolaivska,2012,17.3,22.382981190081402
Odeska,2012,19.4,25.428932634609787
Poltavska,2012,31.7,34.310414480642756
Rivnenska,2012,36.0,39.54166536622126
Sumska,2012,35.4,35.89489706838621
Ternopilska,2012,37.2,41.78379843461372
Vinnytska,2012,39.0,38.553823061538345
Volynska,2012,33.6,36.06443981832192
Zakarpatska,2012,30.6,31.889085198030493
Zaporizka,2012,17.5,24.805879053486528
Zhytomyrska,2012,32.9,38.25354017300936
Cherkaska,2013,51.2,52.0142289024788
Chernihivska,2013,37.0,41.14750771269443
Chernivetska,2013,34.0,44.343376567640036
Dnipropetrovska,2013,33.5,39.59504901365564
Donetska,2013,31.9,35.15409005165793
Kharkivska,2013,43.3,41.934632372814804
Khmelnytska,2013,38.9,47.63669892398573
Kirovohradska,2013,41.2,46.60563005446456
Luhanska,2013,23.5,33.61020304296181
Lvivska,2013,36.1,54.2784020806483
Mykolaivska,2013,30.1,40.48909813430885
Odeska,2013,32.3,39.047168372260515
Poltavska,2013,45.2,45.787581378180505
Rivnenska,2013,33.0,45.704323634694994
Sumska,2013,43.5,47.70709807159772
Ternopilska,2013,35.0,47.053485124646286
Vinnytska,2013,42.8,49.92564855516926
Volynska,2013,36.0,46.82652289205021
Zakarpatska,2013,32.1,40.50123847270807
Zaporizka,2013,26.1,34.44235269644906
Zhytomyrska,2013,30.6,47.69989447165518
Cherkaska,2014,50.4,45.17011495494451
Chernihivska,2014,45.3,45.32858879735893
Chernivetska,2014,47.7,43.06934843667524
Dnipropetrovska,2014,34.2,35.17810604684516
Donetska,2014,38.5,35.7768855544346
Kharkivska,2014,48.8,42.19122095334083
Khmelnytska,2014,52.9,42.33783795973902
Kirovohradska,2014,43.5,39.34575703942561
Luhanska,2014,36.3,35.24496191266083
Lvivska,2014,45.4,38.86229470489833
Mykolaivska,2014,33.6,30.0077023399508
Odeska,2014,34.1,31.030364219911537
Poltavska,2014,44.0,45.823426932100645
Rivnenska,2014,43.3,40.225748712940586
Sumska,2014,49.6,45.98060510876233
Ternopilska,2014,49.1,43.22146225810128
Vinnytska,2014,51.3,43.6266387596353
Volynska,2014,41.1,38.15553720080656
Zakarpatska,2014,34.4,29.71372554204395
Zaporizka,2014,30.1,30.834175362082224
Zhytomyrska,2014,39.3,40.001903536691046
Cherkaska,2015,50.5,49.596198822750225
Chernihivska,2015,37.9,45.90947663888913
Chernivetska,2015,47.1,43.10132569709312
Dnipropetrovska,2015,34.1,36.201980972611906
Donetska,2015,31.5,32.59157881118705
Kharkivska,2015,39.3,37.114668511416994
Khmelnytska,2015,55.8,44.42838529320046
Kirovohradska,2015,36.8,41.342822784816505
Luhanska,2015,26.7,30.097214709735905
Lvivska,2015,46.4,46.08095263893172
Mykolaivska,2015,34.2,34.66433686439524
Odeska,2015,32.1,34.42691305456269
Poltavska,2015,43.7,46.94270555320249
Rivnenska,2015,43.7,39.55119622070099
Sumska,2015,44.2,46.124861555756084
Ternopilska,2015,48.8,44.66452946348967
Vinnytska,2015,48.0,42.032013421347116
Volynska,2015,45.0,38.30484401905558
Zakarpatska,2015,34.6,34.001709443239676
Zaporizka,2015,31.4,34.446894699935825
Zhytomyrska,2015,43.9,38.47714749122467
Cherkaska,2016,52.6,48.23969732954535
Chernihivska,2016,42.2,44.062951663656094
Chernivetska,2016,39.0,39.76970165453233
Dnipropetrovska,2016,34.6,35.43425349120676
Donetska,2016,37.6,32.13736810629712
Kharkivska,2016,44.5,39.0474873627241
Khmelnytska,2016,55.7,44.68919015785434
Kirovohradska,2016,41.1,40.062297877010224
Luhanska,2016,35.8,35.33682464010988
Lvivska,2016,46.6,48.862662592719175
Mykolaivska,2016,36.1,33.08581947870846
Odeska,2016,38.5,38.05377313516664
Poltavska,2016,45.1,45.299754531614326
Rivnenska,2016,44.3,45.924749236395684
Sumska,2016,42.3,45.63785692598299
Ternopilska,2016,49.2,44.388132112237244
Vinnytska,2016,57.1,51.62162576590771
Volynska,2016,42.1,45.55280309093649
Zakarpatska,2016,34.5,37.85106937695902
