region_name,year,y_test,y_pred
Cherkaska,2012,43.6,41.45066072753925
Chernihivska,2012,35.8,41.54296293496035
Chernivetska,2012,37.2,44.247748508231155
Dnipropetrovska,2012,16.6,26.26649001359036
Donetska,2012,22.7,30.320964152806326
Kharkivska,2012,29.0,35.830830679063624
Khmelnytska,2012,40.1,40.1768619025166
Kirovohradska,2012,27.9,30.30265237810519
Luhanska,2012,26.9,30.366403332474547
Lvivska,2012,35.7,47.716347998098044
Mykolaivska,2012,17.3,26.32453676466255
Odeska,2012,19.4,29.278216694282403
Poltavska,2012,31.7,40.354999519854196
Rivnenska,2012,36.0,44.886691211861425
Sumska,2012,35.4,41.09003874808421
Ternopilska,2012,37.2,44.2874533479543
Vinnytska,2012,39.0,42.76149713558739
Volynska,2012,33.6,43.54457321015473
Zakarpatska,2012,30.6,39.332588737750854
Zaporizka,2012,17.5,25.46234173427125
Zhytomyrska,2012,32.9,43.85544383575078
Cherkaska,2013,51.2,49.24284952172955
Chernihivska,2013,37.0,43.28826247400484
Chernivetska,2013,34.0,44.684108443620964
Dnipropetrovska,2013,33.5,34.43613637467546
Donetska,2013,31.9,32.718132527109944
Kharkivska,2013,43.3,38.20734596594763
Khmelnytska,2013,38.9,46.99506531930639
Kirovohradska,2013,41.2,42.3801397834837
Luhanska,2013,23.5,31.74638753664105
Lvivska,2013,36.1,44.09573163647703
Mykolaivska,2013,30.1,32.23520096173134
Odeska,2013,32.3,34.56584083197128
Poltavska,2013,45.2,44.739886382062046
Rivnenska,2013,33.0,41.15004782633396
Sumska,2013,43.5,45.915351418213405
Ternopilska,2013,35.0,43.78974554306977
Vinnytska,2013,42.8,42.261089930609224
Volynska,2013,36.0,43.598940227283386
Zakarpatska,2013,32.1,38.928095671792185
Zaporizka,2013,26.1,31.61645669110378
Zhytomyrska,2013,30.6,45.18930212876508
Cherkaska,2014,50.4,50.09657640687743
Chernihivska,2014,45.3,49.855572061699235
Chernivetska,2014,47.7,43.86273769795017
Dnipropetrovska,2014,34.2,36.523398599326775
Donetska,2014,38.5,37.136985632989045
Kharkivska,2014,48.8,45.46077547175989
Khmelnytska,2014,52.9,45.33576697592765
Kirovohradska,2014,43.5,40.66464642541314
Luhanska,2014,36.3,37.393922715338064
Lvivska,2014,45.4,42.72578002820876
Mykolaivska,2014,33.6,30.520518911222155
Odeska,2014,34.1,32.89492737008109
Poltavska,2014,44.0,49.38752755363255
Rivnenska,2014,43.3,41.33632141383847
Sumska,2014,49.6,49.694481830700035
