region_name,year,y_test,y_pred
Cherkaska,2012,43.6,40.80579226402898
Chernihivska,2012,35.8,41.935865261943924
Chernivetska,2012,37.2,44.71525771500169
Dnipropetrovska,2012,16.6,27.91208132974267
Donetska,2012,22.7,32.13074897132451
Kharkivska,2012,29.0,37.878793892766595
Khmelnytska,2012,40.1,42.1965446070291
Kirovohradska,2012,27.9,31.307898347638346
Luhanska,2012,26.9,33.216931914327496
Lvivska,2012,35.7,47.51388285656766
Mykolaivska,2012,17.3,27.727325377361716
Odeska,2012,19.4,28.703549068054404
Poltavska,2012,31.7,40.31643866635817
Rivnenska,2012,36.0,44.53959239131611
Sumska,2012,35.4,40.78163050257706
Ternopilska,2012,37.2,43.573696052247115
Vinnytska,2012,39.0,41.61045825403312
Volynska,2012,33.6,44.21876623495183
Zakarpatska,2012,30.6,40.179138164205085
Zaporizka,2012,17.5,27.475004703591054
Zhytomyrska,2012,32.9,43.618710046244594
Cherkaska,2013,51.2,49.04511993156267
Chernihivska,2013,37.0,42.777366120504446
Chernivetska,2013,34.0,45.52169027083386
Dnipropetrovska,2013,33.5,32.6114412215644
Donetska,2013,31.9,30.15625418776485
Kharkivska,2013,43.3,36.60344284212518
Khmelnytska,2013,38.9,46.540759304904334
Kirovohradska,2013,41.2,43.23340638744425
Luhanska,2013,23.5,28.7885405140611
Lvivska,2013,36.1,45.82387601286959
Mykolaivska,2013,30.1,29.810425242690318
Odeska,2013,32.3,33.760888570008426
Poltavska,2013,45.2,45.08442678549305
Rivnenska,2013,33.0,43.66637126790052
Sumska,2013,43.5,44.950245498479404
Ternopilska,2013,35.0,44.89355208746581
Vinnytska,2013,42.8,46.20896217943993
Volynska,2013,36.0,44.62940254913646
Zakarpatska,2013,32.1,37.89828331799993
Zaporizka,2013,26.1,27.827994970307486
Zhytomyrska,2013,30.6,45.85487091372034
Cherkaska,2014,50.4,48.40513057966288
Chernihivska,2014,45.3,47.27448178605881
Chernivetska,2014,47.7,44.336072073381565
Dnipropetrovska,2014,34.2,34.94531053113984
Donetska,2014,38.5,36.001348136304294
Kharkivska,2014,48.8,44.36559981627206
Khmelnytska,2014,52.9,44.78226007100485
Kirovohradska,2014,43.5,40.96613938724675
Luhanska,2014,36.3,34.54053270135009
Lvivska,2014,45.4,41.692012065589644
Mykolaivska,2014,33.6,31.46982214768807
Odeska,2014,34.1,34.329206157000904
Poltavska,2014,44.0,48.86979020602507
Rivnenska,2014,43.3,41.41359375911543
Sumska,2014,49.6,49.00711511249116
Ternopilska,2014,49.1,44.95109318410348
Vinnytska,2014,51.3,45.48142843874822
Volynska,2014,41.1,38.659827079987025
Zakarpatska,2014,34.4,34.55747925508874
Zaporizka,2014,30.1,32.14155262039088
Zhytomyrska,2014,39.3,43.152355804493915
Cherkaska,2015,50.5,50.16141506609575
Chernihivska,2015,37.9,47.90539103030615
Chernivetska,2015,47.1,38.852176661655356
Dnipropetrovska,2015,34.1,36.0543661321715
Donetska,2015,31.5,34.02693887796713
Kharkivska,2015,39.3,39.59162155931874
Khmelnytska,2015,55.8,40.39731647048343
Kirovohradska,2015,36.8,41.52671145967683
Luhanska,2015,26.7,32.59733679252036
Lvivska,2015,46.4,49.11148056714524
Mykolaivska,2015,34.2,33.32685048015709
Odeska,2015,32.1,34.10619156211436
Poltavska,2015,43.7,49.5594527976238
Rivnenska,2015,43.7,45.85835232381994
Sumska,2015,44.2,49.12778165524064
Ternopilska,2015,48.8,39.47558990407599
Vinnytska,2015,48.0,39.43079666547548
Volynska,2015,45.0,40.46896827584181
Zakarpatska,2015,34.6,34.528040252663146
Zaporizka,2015,31.4,34.32172816093006
Zhytomyrska,2015,43.9,38.40345900089332
Cherkaska,2016,52.6,49.164760067454424
Chernihivska,2016,42.2,46.944871418652696
Chernivetska,2016,39.0,41.66337871527981
Dnipropetrovska,2016,34.6,35.98833087086631
Donetska,2016,37.6,35.5077819967206
Kharkivska,2016,44.5,41.18268179263548
Khmelnytska,2016,55.7,48.121452424796125
Kirovohradska,2016,41.1,41.71307215827473
Luhanska,2016,35.8,38.527979401085666
Lvivska,2016,46.6,47.29780372450261
Mykolaivska,2016,36.1,34.69639646032287
Odeska,2016,38.5,34.902908735912774
Poltavska,2016,45.1,47.17611353763625
Rivnenska,2016,44.3,47.073407994063466
Sumska,2016,42.3,46.94934934573293
Ternopilska,2016,49.2,47.40066907167052
Vinnytska,2016,57.1,49.9673435315394
Volynska,2016,42.1,43.65941766167914
Zakarpatska,2016,34.5,36.419850588755914
Zaporizka,2016,31.6,34.30132582613466
Zhytomyrska,2016,44.9,43.42836128809914
Cherkaska,2017,37.4,43.09645726736714
Chernihivska,2017,46.9,42.47152915336297
Chernivetska,2017,50.8,48.60328382909058
Dnipropetrovska,2017,35.9,28.450148022524857
Donetska,2017,40.1,35.3139278920426
Kharkivska,2017,46.7,37.698393744041894
Khmelnytska,2017,58.9,47.039160608680966
Kirovohradska,2017,33.9,26.66546229150751
Luhanska,2017,38.8,35.59224899272769
Lvivska,2017,48.9,44.10190168545764
Mykolaivska,2017,34.8,33.51442970588709
Odeska,2017,38.8,37.230045739676996
Poltavska,2017,40.1,38.16135837410138
Rivnenska,2017,45.9,47.26533406095797
Sumska,2017,51.3,44.99786749294091
Ternopilska,2017,55.2,48.36436150423151
Vinnytska,2017,50.8,46.517353245643235
Volynska,2017,45.1,43.03956601899391
Zakarpatska,2017,32.9,41.15012338568508
Zaporizka,2017,33.3,32.73925501391238
Zhytomyrska,2017,42.5,42.209952869846866
Cherkaska,2018,48.3,41.52055515318014
Chernihivska,2018,41.3,43.548098672854906
Chernivetska,2018,43.7,41.92991530736418
Dnipropetrovska,2018,30.0,28.582546346841177
Donetska,2018,27.1,26.99575276117849
Kharkivska,2018,33.7,30.233052236870464
Khmelnytska,2018,54.4,41.61553571240848
Kirovohradska,2018,36.2,29.443010735887796
Luhanska,2018,29.3,31.81131192934172
Lvivska,2018,45.5,39.33476350842142
Mykolaivska,2018,31.2,30.16024108156205
Odeska,2018,37.3,32.15576348217701
Poltavska,2018,42.9,43.816418813498586
Rivnenska,2018,45.0,38.1500968488748
Sumska,2018,50.0,44.51325245485723
Ternopilska,2018,51.2,39.27469882102546
Vinnytska,2018,51.5,41.399612713675204
Volynska,2018,42.8,36.31865332644223
Zakarpatska,2018,30.7,34.21698695605863
Zaporizka,2018,25.8,26.774982305058657
Zhytomyrska,2018,41.6,37.06116131070082
Cherkaska,2019,54.4,49.86740539089176
Chernihivska,2019,46.3,47.347784027900204
Chernivetska,2019,41.9,45.90599545570743
Dnipropetrovska,2019,37.0,35.62654971001222
Donetska,2019,37.2,34.00013245738395
Kharkivska,2019,42.1,38.67574705433457
Khmelnytska,2019,57.4,47.44108472458912
Kirovohradska,2019,43.8,44.86030470782872
Luhanska,2019,36.2,34.3734315474279
Lvivska,2019,47.8,45.21925081297272
Mykolaivska,2019,36.3,33.6998024049888
Odeska,2019,30.5,31.903986164542786
Poltavska,2019,48.0,48.50155066428666
Rivnenska,2019,44.1,46.64910279777412
Sumska,2019,48.3,47.06850781820297
Ternopilska,2019,51.1,48.453097772897024
Vinnytska,2019,55.2,48.97280993985587
Volynska,2019,43.9,43.92454433022042
Zakarpatska,2019,34.0,38.91438681518646
Zaporizka,2019,35.9,32.012736423719886
Zhytomyrska,2019,48.2,46.87208025214164
Cherkaska,2020,43.5,47.60732116652479
Chernihivska,2020,47.6,45.92319603131858
Chernivetska,2020,36.9,43.65186791955035
Dnipropetrovska,2020,38.6,35.3684483172959
Donetska,2020,39.3,35.350146277628056
Kharkivska,2020,50.5,37.43710514478211
Khmelnytska,2020,45.9,47.22459842102773
Kirovohradska,2020,36.0,37.80016142214552
Luhanska,2020,37.8,33.89259453370204
Lvivska,2020,44.9,46.93196281639543
Mykolaivska,2020,27.0,31.0575069690522
Odeska,2020,17.8,28.653557482346102
Poltavska,2020,44.8,42.149386694188166
Rivnenska,2020,43.8,45.01008262113706
Sumska,2020,52.3,46.518456732581974
Ternopilska,2020,47.0,49.28701550696465
Vinnytska,2020,42.7,48.146180230132785
Volynska,2020,44.1,43.872464226373914
Zakarpatska,2020,34.0,43.345606257876106
Zaporizka,2020,31.0,34.66568382064061
Zhytomyrska,2020,41.1,42.2977709829773
