region_name,year,y_test,y_pred
Cherkaska,2012,43.6,41.76958084106445
Chernihivska,2012,35.8,41.677188873291016
Chernivetska,2012,37.2,43.78177261352539
Dnipropetrovska,2012,16.6,25.847211837768555
Donetska,2012,22.7,32.59611129760742
Kharkivska,2012,29.0,36.98439407348633
Khmelnytska,2012,40.1,40.950828552246094
Kirovohradska,2012,27.9,28.83780288696289
Luhanska,2012,26.9,33.266151428222656
Lvivska,2012,35.7,49.436439514160156
Mykolaivska,2012,17.3,24.86435317993164
Odeska,2012,19.4,27.935684204101562
Poltavska,2012,31.7,38.19606399536133
Rivnenska,2012,36.0,43.57463455200195
Sumska,2012,35.4,40.451637268066406
Ternopilska,2012,37.2,43.61181640625
Vinnytska,2012,39.0,42.51530456542969
Volynska,2012,33.6,41.549381256103516
Zakarpatska,2012,30.6,36.99360656738281
Zaporizka,2012,17.5,23.752246856689453
Zhytomyrska,2012,32.9,42.75770568847656
Cherkaska,2013,51.2,50.652740478515625
Chernihivska,2013,37.0,40.78717041015625
Chernivetska,2013,34.0,45.48142623901367
Dnipropetrovska,2013,33.5,31.158945083618164
Donetska,2013,31.9,29.744304656982422
Kharkivska,2013,43.3,36.91564178466797
Khmelnytska,2013,38.9,49.68023681640625
Kirovohradska,2013,41.2,42.43463134765625
Luhanska,2013,23.5,29.06092071533203
Lvivska,2013,36.1,48.00553512573242
Mykolaivska,2013,30.1,29.872541427612305
Odeska,2013,32.3,33.988494873046875
Poltavska,2013,45.2,46.59995651245117
Rivnenska,2013,33.0,45.624603271484375
Sumska,2013,43.5,50.35186767578125
Ternopilska,2013,35.0,46.62141036987305
Vinnytska,2013,42.8,46.654685974121094
Volynska,2013,36.0,45.762821197509766
Zakarpatska,2013,32.1,36.708251953125
Zaporizka,2013,26.1,29.812429428100586
Zhytomyrska,2013,30.6,48.202903747558594
Cherkaska,2014,50.4,48.31465530395508
Chernihivska,2014,45.3,48.52729034423828
Chernivetska,2014,47.7,43.830528259277344
Dnipropetrovska,2014,34.2,36.39977264404297
Donetska,2014,38.5,37.829315185546875
Kharkivska,2014,48.8,44.331668853759766
Khmelnytska,2014,52.9,44.564693450927734
Kirovohradska,2014,43.5,41.120975494384766
Luhanska,2014,36.3,37.330562591552734
Lvivska,2014,45.4,43.42158126831055
Mykolaivska,2014,33.6,30.83228874206543
Odeska,2014,34.1,34.02631759643555
Poltavska,2014,44.0,47.77747344970703
Rivnenska,2014,43.3,43.13602828979492
Sumska,2014,49.6,48.36415481567383
Ternopilska,2014,49.1,45.15300750732422
Vinnytska,2014,51.3,47.133766174316406
Volynska,2014,41.1,40.77091598510742
Zakarpatska,2014,34.4,34.39575958251953
Zaporizka,2014,30.1,34.710105895996094
Zhytomyrska,2014,39.3,43.719932556152344
Cherkaska,2015,50.5,49.56878662109375
Chernihivska,2015,37.9,47.75361251831055
Chernivetska,2015,47.1,37.950870513916016
Dnipropetrovska,2015,34.1,36.01081085205078
Donetska,2015,31.5,33.022743225097656
Kharkivska,2015,39.3,38.85022735595703
Khmelnytska,2015,55.8,39.56960678100586
Kirovohradska,2015,36.8,43.73008728027344
Luhanska,2015,26.7,32.178226470947266
Lvivska,2015,46.4,50.411956787109375
Mykolaivska,2015,34.2,37.50188064575195
Odeska,2015,32.1,34.259403228759766
Poltavska,2015,43.7,50.63985061645508
Rivnenska,2015,43.7,46.037967681884766
Sumska,2015,44.2,48.58143615722656
